"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	
2628	2361	527	2083	2073	289	715	1650	1053	686	129	353	645	1972	
2400	2200	450	1900	2000	250	700	1600	1100	650	100	300	600	1750	
0	0	0	0	0	0	0	0	0	0	0	0	7	24	
1448	1236	335	1078	1013	143	316	780	485	296	24	176	218	840	
57	31	7	33	24	11	38	53	17	52	47	23	58	86	
895	933	108	789	963	96	346	767	598	302	29	101	317	800	
57	31	7	33	24	11	38	53	17	52	47	23	65	110	
1448	1236	335	1078	1013	143	316	780	485	296	24	176	218	839	
21	23	0	10	14	2	2	9	2	4	1	2	3	12	
1484	1244	342	1101	1023	152	352	824	500	344	70	197	280	937	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	13	3	11	8	1	3	4	3	7	0	0	1	4	
201	172	54	191	163	20	47	138	54	42	9	21	22	84	
92	109	27	64	77	6	30	52	32	21	4	15	9	62	
1111	899	247	797	719	120	252	614	381	263	57	158	241	751	
28	24	6	20	24	3	9	8	15	4	0	1	3	18	
6	7	0	3	5	1	3	4	5	4	0	1	2	8	
11	7	4	9	8	1	2	0	6	2	0	1	1	4	
25	13	1	6	19	0	6	4	4	1	0	0	1	6	
