"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	
470	205	1511	206	622	167	272	
450	250	1300	200	600	150	250	
0	0	0	0	0	0	0	
391	150	963	117	412	104	160	
21	35	90	45	70	19	44	
38	65	247	38	118	27	46	
21	35	90	45	70	19	44	
391	150	963	117	412	104	160	
7	1	12	1	6	1	0	
405	184	1041	161	476	122	204	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

0	1	12	2	0	0	1	
68	18	292	18	86	14	49	
48	17	91	17	45	6	14	
280	147	628	122	339	101	136	
2	1	6	1	2	0	2	
6	0	8	0	1	1	1	
1	0	2	1	2	0	0	
0	0	2	0	1	0	1	
