"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №280"	
2212	2386	2133	2230	1149	784	1925	2161	2234	2111	1893	2215	2163	1975	2012	2072	1971	2304	2278	1975	2171	1984	100	
2250	2310	2250	2280	1180	810	2000	2240	2330	2180	2030	2270	2170	2050	2100	2160	2100	2350	2290	2020	2200	2050	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1141	1486	1319	1441	584	441	1333	1427	1406	1365	1264	1406	1337	1216	1300	1289	1185	1316	1399	1218	1387	1195	41	
27	47	26	33	36	12	30	49	43	32	29	41	27	33	35	29	45	73	50	28	32	20	56	
1082	777	905	806	560	357	637	764	881	783	737	823	806	801	765	842	870	961	841	774	781	835	183	
27	47	26	33	36	12	30	49	43	32	29	41	27	33	35	29	45	73	50	28	32	20	56	
1141	1486	1318	1441	584	441	1333	1427	1406	1364	1264	1406	1337	1215	1300	1289	1185	1316	1399	1217	1387	1195	41	
13	20	20	13	17	4	12	18	23	19	28	30	25	22	15	21	15	18	22	17	13	10	2	
1155	1513	1324	1461	603	449	1351	1458	1426	1377	1265	1417	1339	1226	1320	1297	1215	1371	1427	1228	1406	1205	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	11	6	18	8	2	5	16	11	13	11	12	11	9	9	17	6	8	9	12	16	12	0	
277	337	294	307	114	103	320	326	305	323	318	271	309	271	275	308	269	329	309	281	330	318	15	
95	98	99	117	62	36	97	106	102	91	74	103	101	117	83	97	93	105	123	90	103	76	8	
741	1013	880	970	397	294	890	972	962	916	828	974	882	788	906	831	807	884	946	809	903	761	71	
14	23	14	23	7	2	10	16	15	9	8	20	12	11	19	23	15	17	14	12	16	12	0	
3	11	19	8	4	3	6	5	9	14	13	13	8	10	5	10	7	10	7	10	14	11	1	
12	12	4	10	6	5	11	6	7	4	7	6	8	4	12	4	11	8	12	5	12	6	0	
5	8	8	8	5	4	12	11	15	7	6	18	8	16	11	7	7	10	7	9	12	9	0	
