"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	"УИК №2280"	"УИК №2281"	"УИК №2282"	"УИК №2283"	"УИК №2284"	"УИК №2285"	"УИК №2286"	"УИК №2287"	"УИК №2288"	"УИК №2289"	"УИК №2290"	"УИК №2291"	"УИК №2292"	"УИК №2293"	"УИК №2294"	"УИК №2295"	"УИК №2296"	"УИК №2297"	"УИК №2298"	"УИК №2299"	"УИК №2300"	"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	
501	270	1303	403	1006	1570	1071	979	862	438	205	430	1506	1825	251	326	151	2149	2109	1652	1139	524	1276	681	208	174	804	679	281	1119	614	543	1815	1959	645	206	800	320	243	1010	247	433	211	622	278	818	621	712	
510	272	1336	412	986	1570	1076	1005	880	451	212	448	1492	1827	246	340	150	2126	2103	1676	1064	533	1285	687	211	181	817	690	280	1128	678	582	1775	1948	655	209	852	335	256	1039	247	446	213	643	282	824	636	717	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
411	232	1155	370	856	1404	934	851	751	397	172	374	1274	1643	209	282	127	1906	1864	1394	980	427	807	623	189	155	750	629	263	947	528	469	1595	1714	535	153	665	249	198	854	156	358	179	526	230	700	513	593	
44	18	19	21	39	25	16	69	42	14	16	15	75	36	28	10	16	65	48	12	80	40	54	47	10	12	22	16	4	60	25	24	34	38	47	37	56	42	21	56	33	37	13	34	19	55	48	51	
55	22	162	21	91	141	126	85	87	40	24	59	143	148	9	48	7	155	191	270	4	66	424	17	12	14	45	45	13	121	125	89	146	196	73	19	131	44	37	129	58	51	21	83	33	69	75	73	
44	18	19	21	39	25	16	69	42	14	16	15	75	36	28	10	16	65	48	12	80	40	54	47	10	12	22	16	4	60	25	24	34	38	47	37	56	42	21	56	33	37	13	34	19	55	48	51	
411	232	1155	370	856	1404	934	851	751	397	172	374	1274	1643	209	282	127	1906	1864	1394	980	427	807	623	189	155	750	629	263	947	528	469	1595	1714	535	153	665	249	198	854	156	358	179	526	230	700	513	593	
6	0	0	0	13	4	10	0	0	0	0	0	0	2	0	0	0	0	6	3	2	0	10	0	0	0	0	0	0	14	2	0	1	9	0	0	0	0	0	2	4	0	0	0	0	0	0	0	
449	250	1174	391	882	1425	940	920	793	411	188	389	1349	1677	237	292	143	1971	1906	1403	1058	467	851	670	199	167	772	645	267	993	551	493	1628	1743	582	190	721	291	219	908	185	395	192	560	249	755	561	644	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	1	3	8	1	0	2	0	3	2	0	0	1	1	2	4	3	2	0	3	1	0	0	0	2	0	5	1	9	1	7	5	1	5	2	0	1	0	0	0	3	0	1	1	3	
8	7	23	2	85	32	252	21	16	11	9	7	35	12	5	11	8	8	8	7	6	1	84	2	0	5	42	13	6	64	15	8	153	129	12	5	15	6	8	58	11	19	8	8	6	2	22	14	
16	11	45	2	61	19	29	9	5	12	4	15	91	136	4	30	3	19	17	9	4	16	81	3	6	7	30	26	11	60	9	7	38	38	23	7	28	10	9	9	9	16	6	9	10	30	15	25	
420	228	1092	385	714	1358	627	883	769	378	173	362	1214	1524	228	246	131	1933	1862	1368	1030	450	657	664	190	152	695	588	246	843	514	463	1423	1552	527	172	653	263	199	835	154	356	177	526	232	718	520	593	
0	3	6	2	4	5	7	2	2	6	0	2	2	2	0	1	0	4	4	6	6	0	7	0	3	2	5	5	1	10	5	3	7	6	3	2	5	4	2	1	4	2	1	3	0	1	0	2	
1	0	2	0	6	5	9	1	1	0	2	0	3	1	0	1	0	1	5	5	5	0	10	0	0	0	0	0	0	3	3	2	5	2	5	1	5	1	0	1	5	1	0	3	1	1	2	1	
1	1	1	0	7	1	6	1	0	1	0	0	1	2	0	1	0	2	3	2	1	0	2	0	0	0	0	7	0	2	1	1	1	3	4	1	7	2	1	2	2	0	0	2	0	1	0	5	
2	0	4	0	4	2	2	2	0	1	0	0	1	0	0	1	0	2	3	3	4	0	7	0	0	1	0	4	3	6	3	0	0	6	3	1	3	3	0	1	0	1	0	6	0	1	1	1	
