"УИК №548"	"УИК №549"	"УИК №882"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	11	17	12	14	16	11	7	16	10	15	5	14	9	14	10	5	3	6	5	7	4	12	5	15	12	9	14	7	5	6	3	11	12	13	15	12	10	17	11	15	13	13	22	6	19	13	15	16	10	11	14	8	13	10	11	6	9	5	11	5	6	6	10	7	15	12	9	4	10	8	10	11	10	6	14	13	11	5	7	16	4	9	5	6	12	
13	54	119	133	177	122	152	208	97	174	134	143	125	130	102	124	81	85	66	143	166	117	156	93	75	114	114	106	101	119	138	139	105	120	102	117	131	85	133	190	117	143	152	148	228	151	126	91	131	178	100	105	141	187	115	144	185	94	130	104	114	125	69	63	109	135	147	113	164	132	102	131	101	129	103	106	131	98	158	117	122	196	153	113	138	116	135	
20	25	45	40	81	42	71	52	24	52	72	49	47	66	55	63	38	58	36	63	73	72	56	37	35	51	47	31	41	46	50	52	40	48	48	54	40	60	53	89	55	64	46	68	62	51	72	47	62	54	52	78	68	57	62	55	77	40	51	47	52	73	32	24	75	49	45	44	53	52	49	60	36	57	55	66	61	66	86	39	78	62	60	55	52	45	66	
183	528	816	792	1317	722	1012	1093	702	1057	847	1041	871	895	809	966	660	596	483	981	1027	998	1051	510	481	791	580	577	592	808	795	705	384	754	800	715	788	690	812	1084	949	912	916	913	1115	902	885	799	814	946	658	757	962	1060	671	854	980	687	799	655	865	675	470	401	797	838	924	722	998	876	877	942	815	870	836	748	888	850	1100	719	918	1150	907	813	946	647	942	
12	12	56	78	86	74	87	105	41	105	36	70	42	43	43	46	23	29	25	53	51	53	63	43	46	67	49	62	46	38	36	68	24	36	50	41	50	29	46	61	44	47	43	59	113	42	37	38	32	49	30	20	37	43	21	51	58	34	44	31	30	26	15	15	22	38	41	44	40	47	32	42	35	31	38	36	41	33	39	27	38	97	58	39	36	37	41	
0	3	6	6	6	4	13	8	9	8	6	5	11	4	4	9	9	5	5	7	8	4	11	9	5	13	3	6	5	6	6	7	4	2	13	9	9	7	7	11	7	9	14	2	9	6	10	8	12	3	10	2	9	7	8	11	10	4	10	5	5	10	3	3	4	8	8	9	11	9	11	16	3	7	6	9	8	9	6	9	6	10	10	7	8	8	6	
0	2	21	19	27	21	14	43	11	46	21	23	20	18	14	23	11	6	9	15	31	28	22	19	24	26	15	22	26	25	16	21	13	13	18	14	21	13	16	25	9	19	26	17	24	15	23	11	11	16	21	6	15	19	14	19	25	7	16	10	7	15	12	10	7	18	15	15	10	21	17	15	18	19	15	8	10	13	13	6	18	29	20	15	13	15	24	
5	7	30	61	53	57	109	68	29	39	56	64	38	52	35	37	21	27	18	40	36	42	37	35	52	33	35	42	38	55	19	78	9	29	38	34	44	37	35	25	37	36	42	26	70	25	32	20	32	39	25	21	34	26	18	28	41	18	30	13	32	11	13	11	14	37	30	26	46	27	40	35	30	16	18	21	23	34	36	18	22	42	24	38	39	28	44	
