"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	"УИК №2526"	"УИК №2527"	"УИК №2528"	"УИК №2529"	"УИК №2530"	"УИК №2531"	"УИК №2532"	"УИК №2533"	"УИК №2534"	"УИК №2535"	"УИК №2536"	"УИК №2537"	
1369	1169	1230	1605	1065	959	183	673	790	883	1709	1720	783	2017	1220	288	156	149	298	269	124	121	998	207	201	81	1604	126	83	179	82	55	1152	268	51	113	1539	
1412	1188	1296	1606	1091	991	183	684	821	929	1767	1744	801	2058	1239	287	150	151	300	277	125	121	1062	209	210	86	1641	126	85	177	86	57	1166	286	50	109	1526	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
707	868	724	851	582	539	106	577	682	579	1320	1161	635	1564	691	218	117	109	178	115	80	109	721	160	141	68	1012	119	74	157	66	47	962	203	39	96	871	
140	148	150	303	65	64	58	21	50	91	182	233	46	186	60	57	26	10	22	70	8	2	141	45	43	7	112	6	6	20	11	3	111	56	9	11	112	
565	172	422	452	444	388	19	86	89	259	265	350	120	308	488	12	7	32	100	92	37	10	200	4	26	11	517	1	5	0	9	7	93	27	2	2	543	
140	148	150	303	65	64	58	21	50	91	182	233	46	186	60	57	26	10	22	70	8	2	141	45	43	7	112	6	6	20	11	3	111	56	9	11	112	
707	868	724	851	582	539	106	577	682	579	1320	1161	635	1564	691	218	117	109	178	115	80	109	721	160	141	68	1012	119	74	157	66	47	962	203	39	96	871	
12	9	17	14	7	11	0	7	2	4	10	5	0	11	16	1	1	0	0	0	1	2	8	0	2	0	17	0	0	0	0	0	9	2	3	0	13	
835	1007	857	1140	640	592	164	591	730	666	1492	1389	681	1739	735	274	142	119	200	185	87	109	854	205	182	75	1107	125	80	177	77	50	1064	257	45	107	970	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	6	7	6	4	0	1	2	2	7	4	5	5	3	0	1	1	2	0	0	1	6	1	0	0	22	0	0	2	0	0	1	0	0	0	7	
160	96	162	215	137	117	12	87	59	180	127	106	68	134	111	23	5	14	29	13	14	9	92	4	16	27	130	0	1	3	2	1	64	11	2	5	198	
42	61	54	61	36	45	9	42	27	55	50	44	26	96	49	18	5	7	15	20	6	6	21	3	13	1	93	6	4	4	9	5	73	10	1	10	55	
610	828	620	833	454	412	140	454	628	416	1293	1208	566	1490	558	225	131	94	153	149	65	91	725	196	151	43	830	119	73	168	65	44	909	235	42	91	686	
9	8	8	11	1	3	1	1	2	5	5	9	5	2	0	0	0	2	1	1	1	1	2	0	0	1	3	0	1	0	0	0	6	0	0	0	6	
3	1	2	3	3	7	0	1	6	5	8	7	6	8	8	8	0	0	0	2	1	0	6	0	1	2	25	0	0	0	1	0	5	1	0	1	6	
4	9	3	4	1	3	1	4	6	2	0	7	3	3	2	0	0	1	0	0	0	1	1	0	0	0	2	0	1	0	0	0	6	0	0	0	4	
3	1	2	6	2	1	1	1	0	1	2	4	2	1	4	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	8	
