"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	
1220	1454	1131	1039	1095	1131	1083	1109	1469	1097	1047	1048	1181	201	927	1103	
1283	1449	1142	1000	997	1184	1134	1141	1322	1154	1078	1080	1178	181	980	1160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
896	1050	779	733	885	760	700	780	1121	722	763	654	764	126	612	725	
8	10	8	6	8	16	26	7	17	9	10	20	22	2	9	18	
379	389	355	261	104	408	408	354	184	423	305	406	392	53	359	417	
8	10	8	6	8	16	26	7	17	9	10	20	22	2	9	18	
896	1050	779	733	885	760	700	779	1119	722	763	653	763	126	612	725	
8	14	9	11	17	17	9	10	26	6	7	11	15	0	19	10	
896	1046	778	728	876	759	717	776	1110	725	766	662	770	128	602	733	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	3	4	2	3	4	0	2	1	3	4	2	0	1	2	
142	190	144	149	147	181	154	169	247	184	130	162	175	21	135	181	
74	81	53	58	68	56	53	59	104	59	61	53	61	16	65	59	
664	754	562	505	641	502	483	520	725	459	543	437	502	88	385	474	
8	8	8	6	12	9	9	11	11	5	15	3	12	1	4	5	
1	3	0	3	4	2	3	4	5	7	4	0	5	1	4	5	
4	5	7	2	1	3	7	9	12	3	5	1	7	1	5	6	
1	4	1	1	1	3	4	4	4	7	5	2	6	0	3	1	
