"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	
1120	1334	1556	1256	1943	2389	850	2407	1280	2578	1666	2609	228	227	314	250	482	705	283	343	392	290	512	524	233	638	455	329	376	451	140	164	148	281	561	335	481	638	283	
1130	1355	1615	1315	1970	2400	815	2445	1275	2610	1755	2630	230	235	335	255	495	745	295	390	410	300	525	530	235	655	510	355	395	470	140	160	145	285	575	340	495	700	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
664	775	1044	826	1137	1481	450	1348	732	1584	955	1505	166	128	237	179	386	494	205	225	234	177	362	359	132	512	414	193	268	245	84	82	84	188	358	206	308	388	172	
64	57	110	28	108	116	86	123	79	89	182	105	13	60	60	59	49	94	38	84	118	78	84	77	66	82	41	80	37	88	32	27	34	32	94	61	44	104	63	
402	523	461	461	725	803	279	974	464	937	618	1020	51	47	38	17	60	157	52	81	58	45	79	94	37	61	55	82	90	137	24	51	27	65	123	73	143	208	65	
64	57	110	28	108	116	86	123	79	89	182	105	13	60	60	59	49	94	38	84	118	78	84	77	66	82	41	80	37	88	32	27	34	32	94	61	44	104	63	
663	775	1044	826	1137	1481	450	1348	732	1581	955	1505	166	128	237	179	386	494	205	225	234	177	362	359	132	512	414	193	268	245	84	82	84	188	358	206	308	388	172	
14	13	111	12	12	23	7	21	3	23	20	13	3	0	4	2	7	3	6	1	0	7	2	2	0	4	3	2	2	0	0	0	3	1	7	1	7	3	3	
713	819	1043	842	1233	1574	529	1450	808	1647	1117	1597	176	188	293	236	428	585	237	308	352	248	444	434	198	590	452	271	303	333	116	109	115	219	445	266	345	489	232	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	7	8	9	16	3	14	4	12	9	9	1	4	0	0	4	7	1	2	1	1	4	2	0	1	1	2	1	2	0	0	5	0	4	3	1	2	2	
125	127	174	137	198	266	65	215	107	248	159	224	14	15	38	16	64	62	13	35	44	21	62	26	26	39	29	14	27	23	9	7	10	14	85	17	36	26	22	
46	67	81	57	80	87	41	107	70	125	78	129	11	10	24	11	17	41	34	23	21	20	43	26	17	46	30	12	11	30	4	8	11	19	32	14	34	34	24	
516	605	762	611	918	1156	410	1062	602	1212	851	1205	143	156	226	208	334	464	187	245	275	204	323	374	152	497	387	241	260	271	102	93	89	186	314	222	267	420	180	
7	5	12	14	11	19	1	17	6	15	7	13	2	2	2	0	7	1	0	0	5	1	7	2	3	1	4	0	3	2	0	0	0	0	6	1	5	3	2	
10	4	4	7	10	14	4	11	7	12	5	9	2	1	2	1	1	6	2	2	4	0	4	1	0	2	1	1	0	1	0	0	0	0	0	2	1	2	1	
4	4	2	5	7	7	3	5	7	10	4	2	2	0	0	0	1	2	0	0	2	1	1	3	0	2	0	0	0	3	1	1	0	0	2	6	0	2	1	
1	5	1	3	0	9	2	19	5	13	4	6	1	0	1	0	0	2	0	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	2	1	1	0	0	
