"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	
1914	1623	2500	2475	682	609	694	230	679	283	1218	755	733	570	
1940	1601	2700	2550	674	606	945	271	743	310	1276	852	865	700	
0	0	0	0	185	0	0	0	0	0	0	0	0	0	
1634	1318	2212	1782	471	535	673	200	611	232	1167	730	715	532	
122	141	218	60	18	56	17	29	62	49	51	25	18	38	
184	142	270	708	0	15	255	42	70	29	58	97	132	130	
122	141	218	60	203	56	17	29	62	49	51	25	18	38	
1634	1318	2212	1781	471	535	673	200	611	232	1167	730	715	531	
6	1	43	1	0	9	4	0	1	0	25	0	4	16	
1750	1458	2387	1840	674	582	686	229	672	281	1193	755	729	553	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	12	8	0	1	2	0	1	1	0	0	2	0	
170	64	14	107	6	15	9	4	3	6	21	25	38	21	
51	10	15	82	2	12	2	5	2	1	11	2	4	7	
1483	1371	2290	1602	662	543	665	215	664	272	1134	724	677	516	
30	10	33	28	4	4	5	5	1	0	18	0	7	6	
6	2	6	6	0	5	2	0	1	0	4	0	1	2	
4	1	9	3	0	1	0	0	0	1	0	0	0	1	
3	0	8	4	0	1	1	0	0	0	5	4	0	0	
