"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №3412"	"УИК №3413"	"УИК №3414"	"УИК №3418"	"УИК №3419"	"УИК №3420"	"УИК №3436"	"УИК №3440"	"УИК №3706"	
1331	2727	2424	3012	1633	1492	2820	3603	2838	3097	2405	3041	3098	1858	3254	586	
1000	2100	1900	2400	1300	1100	2200	2900	2100	2400	2000	2400	2400	1600	2800	586	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
796	1781	1432	1773	991	936	1758	2206	1584	1741	1377	1731	1871	1001	2457	419	
44	45	26	20	28	55	50	33	23	23	19	16	23	15	16	104	
160	274	442	607	281	109	392	661	493	636	604	653	506	584	327	63	
44	45	26	20	28	55	50	33	23	23	19	16	23	15	16	104	
796	1774	1432	1773	990	936	1757	2203	1574	1735	1377	1731	1871	1001	2455	419	
12	31	16	22	17	6	31	37	23	19	38	12	23	13	12	20	
828	1788	1442	1771	1001	985	1776	2199	1574	1739	1358	1735	1871	1003	2459	503	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	22	7	3	7	4	9	12	17	12	12	12	13	10	12	3	
95	180	181	244	111	109	187	304	193	244	161	240	254	149	330	60	
47	106	83	124	58	55	114	135	113	97	96	87	92	53	125	26	
629	1367	1099	1315	775	776	1380	1608	1155	1286	1021	1261	1361	732	1807	386	
33	43	26	32	21	24	38	81	42	46	29	76	80	32	95	12	
4	18	7	16	4	4	4	10	10	17	8	14	13	5	21	4	
10	25	17	17	11	8	18	22	17	16	14	20	25	5	37	5	
5	27	22	20	14	5	26	27	27	21	17	25	33	17	32	7	
