"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1447"	"УИК №1448"	
166	285	405	103	459	494	252	84	350	228	670	636	134	186	1451	619	722	1422	97	475	83	309	266	954	393	83	137	
163	293	443	109	469	509	249	83	349	238	695	705	146	196	1456	587	702	1472	94	507	89	319	276	941	415	82	138	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	209	225	50	402	337	189	50	222	157	428	422	80	94	882	409	461	951	77	387	35	227	214	777	215	48	67	
14	24	82	40	13	36	27	18	55	49	60	68	32	48	166	48	67	67	0	32	22	42	14	108	49	8	13	
45	60	136	19	54	136	33	15	72	32	207	215	34	54	408	130	174	454	17	88	32	50	48	56	151	26	58	
14	24	82	40	13	36	27	18	55	49	60	68	32	48	166	48	67	67	0	32	22	42	14	108	49	8	13	
104	209	225	50	402	337	189	50	222	157	428	422	80	94	882	409	461	951	77	387	35	227	214	777	215	48	67	
1	0	0	0	0	5	0	1	0	0	5	0	0	1	6	3	0	13	1	7	0	0	0	32	3	1	0	
117	233	307	90	415	368	216	67	277	206	483	490	112	141	1042	454	528	1005	76	412	57	269	228	853	261	55	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	8	0	0	3	2	0	0	4	1	2	1	1	11	5	3	12	2	1	0	3	2	2	0	1	1	
21	5	71	3	3	28	29	2	34	24	22	79	6	13	87	76	71	123	17	48	2	20	28	8	44	7	15	
3	3	25	10	2	9	11	10	8	14	6	11	12	8	64	28	37	75	10	22	2	26	29	8	20	7	3	
92	225	199	76	408	310	172	53	230	162	451	383	89	118	856	333	398	776	45	332	51	215	164	829	192	40	59	
0	0	2	1	2	3	2	0	2	1	1	6	1	0	11	5	4	5	0	0	1	1	4	3	0	0	0	
0	0	2	0	0	6	0	2	1	0	2	7	3	1	8	3	7	8	1	8	1	1	0	3	4	0	2	
0	0	0	0	0	4	0	0	2	1	0	2	0	0	2	3	5	2	0	0	0	3	1	0	1	0	0	
0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	1	3	4	1	1	0	0	0	0	0	0	0	
