"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2393"	"УИК №2394"	"УИК №2395"	"УИК №2396"	"УИК №2397"	"УИК №2398"	"УИК №2399"	
2274	2654	2127	2370	1870	2096	1668	1825	2075	2132	1608	1475	2483	1946	1891	2079	2423	2209	2581	2268	2783	2945	2716	2821	2735	1948	1670	2090	2006	1438	1818	1578	1848	2243	2158	1881	2198	1867	2590	1664	1572	1400	2626	2007	2042	1481	2198	1804	2642	2242	2145	1932	2154	2697	2541	1686	400	1647	148	988	595	137	319	
2100	2500	2000	2300	1700	2000	1500	1600	2000	2000	1569	1300	2300	1800	1800	2000	2100	2000	2300	2000	2500	2500	2500	2600	2000	1800	1500	1800	1700	1400	1600	1400	1700	1900	1700	1700	2000	1500	2300	1300	1400	1300	2200	1800	1800	1200	2200	1700	2200	2100	1900	1700	2000	2300	2300	1500	450	1670	300	1000	700	150	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1492	1731	1340	1490	1196	1441	1000	1517	1384	1113	968	1107	1630	1102	1204	1387	1293	1418	1380	1370	1805	1825	1510	1890	1586	1122	1061	1466	1457	719	1262	1146	990	1432	1185	1128	1466	1190	1460	1158	1187	968	1418	1376	1385	958	1764	1140	1414	1316	1482	1289	1390	1651	1324	1109	217	1647	34	349	520	137	319	
264	180	47	148	57	134	118	50	134	38	68	146	112	124	134	66	106	128	73	41	164	58	35	87	26	47	160	205	28	38	84	38	154	148	101	78	138	130	127	65	102	34	26	108	166	79	233	87	38	84	95	65	107	206	110	69	183	0	114	634	75	0	0	
344	589	613	662	447	425	382	33	482	849	533	47	558	574	462	547	701	454	847	589	531	617	955	623	388	631	279	129	215	643	254	216	556	320	414	494	396	180	713	77	111	298	756	316	249	163	203	473	748	700	323	346	503	443	866	322	50	23	152	17	105	13	31	
264	180	47	148	57	134	118	50	134	38	68	146	112	124	134	66	106	128	73	41	164	58	35	87	26	47	160	205	28	38	84	38	154	148	101	78	138	130	127	65	102	34	26	108	166	79	233	87	38	84	95	65	107	206	110	69	183	0	114	634	75	0	0	
1492	1731	1340	1488	1196	1441	1000	1517	1382	1113	968	1107	1630	1102	1204	1387	1293	1418	1380	1370	1805	1825	1510	1890	1586	1122	1061	1466	1457	719	1262	1146	989	1432	1185	1128	1466	1190	1458	1158	1187	968	1418	1376	1385	955	1764	1140	1414	1316	1482	1287	1390	1651	1324	1109	217	1647	34	349	520	137	319	
7	14	11	20	9	1	11	6	0	15	1	0	5	7	10	11	12	16	3	11	7	12	29	16	20	5	3	15	0	5	2	0	13	16	10	13	8	11	18	1	0	6	13	17	19	0	7	6	14	18	8	20	13	16	11	10	2	80	0	6	11	1	15	
1749	1897	1376	1616	1244	1574	1107	1561	1516	1136	1035	1253	1737	1219	1328	1442	1387	1530	1450	1400	1962	1871	1516	1961	1592	1164	1218	1656	1485	752	1344	1184	1130	1564	1276	1193	1596	1309	1567	1222	1289	996	1431	1467	1532	1034	1990	1221	1438	1382	1569	1332	1484	1841	1423	1168	398	1567	148	977	584	136	304	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	4	6	21	6	8	10	12	6	11	0	14	4	6	22	11	6	28	13	20	10	9	19	10	8	11	19	43	8	11	3	5	9	6	5	7	7	12	16	2	8	14	9	13	9	3	15	10	9	7	10	9	5	8	5	2	16	0	1	2	0	0	
107	179	221	214	127	145	149	154	205	139	130	150	177	165	143	102	180	195	108	156	199	275	219	254	189	181	114	222	65	96	142	260	129	201	163	163	213	169	220	145	103	112	225	188	155	120	184	150	192	207	297	120	168	245	195	238	23	104	23	96	46	13	19	
42	74	69	73	83	73	44	45	55	51	56	30	67	70	49	59	74	60	129	52	95	69	82	111	108	68	36	42	56	35	80	12	52	74	53	56	48	58	66	108	132	38	63	59	62	39	23	47	94	74	37	49	55	98	79	51	20	336	14	52	37	8	4	
1561	1557	1038	1210	938	1292	863	1312	1173	879	783	1065	1395	918	1082	1142	1041	1205	1092	1104	1543	1444	1127	1387	1174	853	991	1296	1172	562	1052	889	892	1194	970	890	1251	995	1163	885	1045	792	1045	1139	1248	817	1751	952	1073	1017	1186	1060	1169	1404	1076	833	341	925	104	809	478	108	275	
15	37	7	53	27	32	9	11	27	25	16	3	32	34	23	39	40	28	26	21	43	26	31	44	39	29	23	29	56	24	28	5	19	35	43	33	21	29	48	5	6	16	29	22	20	20	11	22	26	31	12	41	33	38	26	12	4	147	3	5	6	5	2	
5	12	12	6	12	7	9	11	11	4	10	0	13	9	6	23	7	8	12	17	15	10	13	19	20	5	6	8	22	7	8	3	10	12	7	8	7	9	5	21	0	5	10	8	8	10	4	6	9	9	13	12	12	8	3	4	3	10	2	3	4	1	2	
8	19	9	28	16	12	12	9	14	16	12	0	21	11	15	25	17	20	23	18	25	26	19	32	27	11	22	18	38	9	14	8	14	18	11	19	25	26	31	24	0	15	32	25	16	12	6	22	19	18	3	21	30	27	20	13	1	17	2	8	4	0	0	
4	12	16	26	20	7	13	9	19	16	17	5	18	8	4	30	17	8	32	19	22	11	16	95	25	9	15	22	33	11	9	4	9	21	23	19	24	16	22	18	1	10	13	17	10	7	8	7	15	17	14	19	8	16	16	12	4	12	0	3	7	1	2	
