"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	
1691	2188	2481	2241	2944	1739	1360	2045	2564	2074	1813	1293	1654	1659	1871	1398	1542	926	1211	2038	1765	1208	2375	1347	954	1321	1572	1258	1542	2338	2351	1419	1083	1071	533	1226	1139	1418	1697	1793	1351	1218	1589	1768	1802	1452	1616	2547	1996	2140	1451	1487	1695	1393	2086	2006	2104	2111	1576	2463	1638	1890	1470	1502	1644	2274	2023	1630	1242	1872	1539	289	221	168	
1600	2100	2400	2100	2700	1600	1300	2000	2500	2000	1700	1200	1600	1600	1700	1300	1400	800	1100	2000	1800	1200	2300	1300	800	1200	1500	1100	1400	2200	2200	1300	1000	1000	450	1200	1100	1300	1600	1700	1300	1100	1400	1700	1700	1400	1600	2500	2000	2100	1400	1400	1600	1400	2100	1900	2000	2000	1500	2300	1600	1800	1400	1400	1500	2200	1900	1600	1200	1800	1547	291	223	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
837	1184	1305	1304	1762	1102	594	1158	1465	1239	996	586	769	692	1002	670	823	485	672	1043	976	626	1431	817	572	822	838	718	860	1452	1520	842	577	600	273	730	647	831	976	682	634	674	938	738	814	647	913	1414	1204	1261	804	773	902	743	1096	1139	1113	1210	919	1475	918	1140	867	895	948	1195	999	816	653	1018	1539	288	212	167	
92	33	31	24	21	33	18	47	37	33	50	27	22	12	23	10	15	17	21	38	31	40	19	14	21	23	34	51	15	43	36	38	41	15	7	35	19	35	35	56	29	32	23	33	24	24	15	43	25	19	22	32	48	38	17	20	17	40	23	50	68	35	15	28	30	36	35	42	21	28	0	1	2	1	
671	883	1064	772	917	465	688	795	998	728	654	587	809	896	675	620	561	298	407	919	793	534	850	469	207	355	628	331	525	705	644	420	382	385	170	435	434	434	589	962	637	394	439	929	862	729	672	1043	771	820	574	595	650	619	987	741	870	750	558	775	614	625	518	477	522	969	866	742	526	754	8	2	9	2	
92	33	31	24	21	33	18	47	37	33	50	27	22	12	23	10	15	17	21	38	31	40	19	14	21	23	34	51	15	43	36	38	41	15	7	35	19	35	35	56	29	32	23	33	24	24	15	43	25	19	22	32	48	38	17	20	17	40	23	50	68	35	15	28	30	36	35	42	21	28	0	1	2	1	
837	1183	1305	1304	1761	1028	594	1158	1462	1239	996	586	768	692	1002	670	822	485	672	1043	976	626	1431	817	571	822	838	718	860	1452	1520	842	577	600	273	730	647	831	976	682	634	674	938	738	814	647	913	1413	1204	1261	804	773	902	743	1096	1139	1113	1210	919	1475	918	1140	867	895	948	1195	999	816	653	1018	1538	288	212	167	
18	7	62	23	23	21	9	16	20	20	11	2	13	9	13	3	5	5	12	10	15	9	19	12	5	6	10	5	7	19	12	16	11	5	7	14	7	9	14	10	2	11	10	11	12	7	10	16	25	14	13	12	13	11	4	20	24	17	14	23	12	10	16	19	9	7	99	17	6	11	33	2	3	2	
911	1209	1274	1305	1759	1040	603	1189	1479	1252	1035	611	777	695	1012	677	832	497	681	1071	992	657	1431	819	587	839	862	764	868	1476	1544	864	607	610	273	751	659	857	997	728	661	695	951	760	826	664	918	1440	1204	1266	813	793	937	770	1109	1139	1106	1233	928	1502	974	1165	866	904	969	1224	935	841	668	1035	1505	287	211	166	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	10	3	13	8	5	3	5	10	9	13	6	6	6	14	5	2	2	4	8	5	6	15	4	4	14	2	7	8	17	13	4	5	1	2	5	5	0	12	4	4	9	9	6	5	1	5	13	7	14	4	1	4	5	8	7	6	10	7	12	10	10	4	6	3	9	6	6	5	12	13	2	1	2	
