"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	
1489	756	88	297	292	324	195	123	101	233	111	233	227	187	84	44	275	89	94	134	
1900	900	110	340	370	350	240	120	130	250	110	230	250	240	100	50	340	90	110	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1020	445	68	201	180	171	100	63	61	138	70	131	136	136	51	24	161	46	49	75	
127	126	9	37	54	51	42	16	22	65	19	41	37	16	30	7	49	14	15	27	
753	329	33	102	136	128	98	41	47	47	21	58	77	88	19	19	130	30	46	48	
127	126	9	37	54	51	42	16	22	65	19	41	37	16	30	7	49	14	15	27	
1020	445	68	201	180	171	100	63	61	138	70	131	136	136	51	24	161	46	49	75	
22	7	0	3	5	0	1	0	1	4	0	1	0	3	0	0	1	0	0	0	
1125	564	77	235	229	222	141	79	82	199	89	171	173	149	81	31	209	60	64	102	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	6	0	1	0	0	1	0	0	0	0	3	2	0	1	0	1	1	2	0	
178	83	6	35	23	70	25	12	8	63	17	19	32	26	19	9	28	12	6	11	
88	49	5	23	10	11	8	3	5	27	8	10	13	17	4	5	8	4	7	7	
826	415	63	169	195	139	102	62	68	106	64	138	124	104	56	17	171	42	46	83	
5	4	2	7	1	0	2	0	0	2	0	1	1	2	1	0	0	1	3	0	
7	4	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	
6	2	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	
4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
