"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	
1072	1340	1133	1852	1080	152	133	102	1526	1205	226	904	1006	520	460	75	319	145	462	124	164	470	300	998	412	450	634	122	370	124	347	
1000	1500	1100	1700	1000	145	130	100	1500	1000	200	1100	1000	550	400	75	320	130	450	100	150	530	300	1000	410	360	630	120	370	95	360	
0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	42	0	0	
538	772	678	1074	717	103	121	93	771	683	96	742	585	274	322	55	209	112	423	91	66	428	229	701	363	319	545	79	267	86	311	
53	33	121	79	86	31	4	7	33	92	57	47	99	38	21	18	44	9	9	9	5	30	47	22	28	31	23	10	18	7	29	
409	695	301	547	197	11	5	0	696	225	47	299	316	238	57	2	67	9	18	0	5	72	24	277	19	10	62	31	43	2	20	
53	33	121	79	86	31	4	7	33	92	57	59	99	38	21	18	44	9	9	9	79	30	47	22	28	31	23	10	60	7	29	
538	772	678	1074	717	103	121	93	771	683	96	742	585	274	322	55	209	112	423	91	66	428	229	701	363	319	545	79	267	86	311	
8	21	10	14	4	0	2	0	15	4	3	18	13	5	7	1	0	3	6	2	2	3	3	8	4	5	11	1	3	2	4	
583	784	789	1139	799	134	123	100	789	771	150	783	671	307	336	72	253	118	426	98	143	455	273	715	387	345	557	88	324	91	336	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	8	4	2	4	1	0	1	3	4	2	5	10	1	1	1	2	1	2	0	1	5	0	5	5	1	7	1	3	0	3	
116	62	164	52	57	12	9	8	160	14	12	81	11	1	44	13	18	5	37	8	8	53	12	106	10	51	81	7	32	4	25	
56	13	54	46	35	9	12	7	86	14	5	59	10	1	34	8	15	8	17	20	10	19	16	90	10	35	80	7	23	2	69	
397	684	555	1025	678	110	98	83	519	726	123	625	619	297	245	47	207	101	363	70	116	365	243	503	359	254	373	72	256	84	219	
9	5	5	4	13	2	3	1	9	6	4	3	6	2	4	2	5	1	0	0	1	9	1	1	2	0	8	1	3	0	7	
1	3	6	2	6	0	0	0	5	2	2	4	3	0	6	0	4	1	3	0	3	4	0	7	0	2	5	0	4	1	3	
1	2	1	3	6	0	1	0	4	5	0	5	4	2	1	0	1	1	2	0	4	0	0	1	1	1	0	0	2	0	4	
2	7	0	5	0	0	0	0	3	0	2	1	8	3	1	1	1	0	2	0	0	0	1	2	0	1	3	0	1	0	6	
