"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	
1991	1210	1239	913	970	1613	937	547	557	729	1131	992	873	352	427	
1700	1050	1000	800	900	1400	800	500	500	650	1000	900	800	350	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1212	652	727	444	532	922	480	326	297	446	602	639	449	160	238	
52	32	39	76	60	50	34	27	37	7	110	38	16	19	27	
436	366	234	280	308	428	286	147	166	197	288	223	335	171	135	
52	32	39	76	60	50	34	27	37	7	110	38	16	19	27	
1212	652	727	444	532	922	480	326	297	446	602	639	449	160	238	
15	5	15	8	5	10	4	0	6	7	9	8	9	1	0	
1249	679	751	512	587	962	510	353	328	446	703	669	456	178	265	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	12	4	4	2	2	1	3	0	5	5	0	2	1	
123	71	79	36	32	55	42	17	29	24	76	73	38	18	15	
86	41	53	54	44	88	47	28	30	28	47	38	31	23	13	
984	543	569	405	491	790	393	299	261	383	556	541	372	135	230	
16	11	15	3	7	11	15	2	1	4	12	6	6	0	1	
9	4	6	7	3	1	0	2	2	5	1	2	6	0	3	
14	4	4	3	4	9	6	2	2	2	2	3	2	0	1	
9	2	13	0	2	6	5	2	0	0	4	1	1	0	1	
