"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	
1770	1794	1756	2020	1973	644	86	665	410	224	994	188	86	609	245	584	194	233	375	226	118	645	161	589	106	856	293	93	187	
1770	1840	1770	2080	1970	650	90	660	425	230	1025	177	85	625	245	600	200	245	385	230	125	665	165	610	105	870	290	88	180	
0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	
1525	1550	1502	1802	1692	541	83	604	356	197	856	174	75	542	222	454	171	207	373	199	106	569	127	519	96	746	265	79	162	
88	119	84	62	111	45	0	16	27	13	50	3	6	26	3	45	10	18	0	6	7	36	21	35	5	34	7	6	17	
157	171	184	216	167	46	7	40	42	20	119	0	4	57	20	58	19	20	12	25	12	60	17	56	4	90	18	3	1	
88	119	84	62	111	63	0	16	27	13	50	3	6	26	3	88	10	18	0	6	7	36	21	35	5	34	7	6	17	
1525	1550	1502	1802	1692	541	83	604	356	197	856	174	75	542	222	454	171	207	373	199	106	569	127	519	96	746	265	79	162	
6	3	6	7	4	2	0	2	0	0	7	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1607	1666	1580	1857	1799	602	83	618	383	210	899	177	81	567	224	542	181	225	373	204	113	605	148	554	101	780	272	85	179	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

24	5	5	11	4	1	0	0	1	0	4	0	0	0	1	0	0	0	1	1	1	2	0	1	0	2	1	0	0	
32	74	68	102	89	17	2	14	15	8	21	10	5	27	7	27	15	5	8	5	3	22	7	21	3	43	7	2	5	
56	31	22	11	28	8	2	21	7	5	26	5	2	8	4	2	2	1	11	3	2	10	2	10	11	25	7	4	5	
1470	1535	1454	1689	1657	573	79	577	358	197	842	162	72	529	209	510	163	218	350	192	105	565	139	518	87	701	254	78	168	
5	9	15	16	5	1	0	1	0	0	4	0	2	3	0	1	1	0	1	2	1	2	0	2	0	4	3	0	1	
6	4	4	15	5	1	0	3	1	0	0	0	0	0	0	1	0	1	2	1	1	2	0	1	0	4	0	1	0	
5	3	5	8	6	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
9	5	7	5	5	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	
