"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	
863	886	1098	176	187	537	148	222	211	243	549	352	116	166	237	
851	881	1079	166	199	543	139	249	213	254	588	390	130	174	252	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
697	793	916	110	129	421	77	159	88	174	417	199	82	113	177	
61	48	105	43	40	83	60	32	48	22	45	79	24	38	33	
93	40	58	13	30	39	2	58	77	58	126	112	24	23	42	
61	48	105	43	40	83	60	32	48	22	45	79	24	38	33	
697	793	916	110	129	421	77	159	88	174	417	199	82	113	177	
6	7	7	2	1	0	0	1	1	10	7	2	1	0	0	
752	834	1014	151	168	504	137	190	135	186	455	276	105	151	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	4	2	2	0	3	0	0	1	0	5	1	0	0	0	
114	104	115	6	22	32	6	28	7	16	27	43	7	28	12	
52	29	27	7	13	14	6	8	22	9	24	12	8	19	14	
535	690	851	133	131	452	122	154	98	161	396	212	90	102	179	
17	1	7	3	1	0	0	0	4	0	1	2	0	1	1	
12	3	1	0	1	2	3	0	2	0	1	3	0	1	4	
9	2	8	0	0	1	0	0	1	0	0	2	0	0	0	
4	1	3	0	0	0	0	0	0	0	1	1	0	0	0	
