"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	
26	133	42	552	449	368	153	378	180	112	566	74	217	194	86	89	156	205	161	216	153	164	226	136	109	292	1705	1945	1220	75	
26	156	43	540	450	340	160	380	185	108	565	76	210	180	86	88	165	206	156	195	158	163	230	139	114	287	1760	1800	1300	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
24	128	42	472	361	261	119	323	157	87	459	65	188	117	76	70	129	187	119	173	125	136	203	121	102	256	1150	1595	916	75	
2	5	0	31	29	42	32	41	20	12	42	8	22	41	7	5	21	15	37	12	19	27	17	10	4	26	332	200	82	0	
0	23	1	37	60	37	9	16	8	9	64	3	0	22	3	13	15	4	0	10	14	0	10	8	8	5	278	5	299	0	
2	5	0	31	29	42	32	41	20	12	42	8	22	41	7	5	21	15	37	12	19	27	17	10	4	26	332	200	85	0	
24	128	42	472	361	261	119	323	157	87	459	65	188	117	76	70	129	187	119	173	125	136	203	121	102	256	1150	1594	916	75	
0	1	0	4	4	5	1	2	0	2	6	1	1	2	0	0	1	0	0	1	1	0	1	0	0	1	22	24	10	0	
26	132	42	499	386	298	150	362	177	97	495	72	209	156	83	75	149	202	156	184	143	163	219	131	106	281	1460	1770	991	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	4	2	1	1	
4	10	4	28	27	30	9	27	4	22	30	6	8	36	10	4	20	1	4	12	4	6	11	12	3	4	151	200	121	15	
1	1	2	34	22	10	3	14	2	0	21	6	16	6	4	2	2	0	4	9	4	1	15	0	0	12	85	115	74	2	
21	111	36	426	330	255	136	316	169	75	437	60	181	110	67	67	124	200	148	160	133	155	189	118	103	264	1197	1410	775	56	
0	7	0	2	4	3	1	4	0	0	4	0	2	2	0	0	1	0	0	1	1	0	2	1	0	0	11	27	12	0	
0	0	0	7	1	0	0	1	0	0	1	0	2	0	2	1	0	0	0	2	0	0	1	0	0	1	6	5	4	1	
0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	7	4	0	
0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	6	4	0	0	
