"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	
475	385	699	86	170	83	256	752	1397	1459	254	316	487	123	97	822	51	
450	400	700	80	175	80	270	750	1400	1450	250	320	500	120	100	770	45	
0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	
294	224	417	50	96	63	154	393	812	872	160	205	300	77	65	530	38	
8	11	13	1	5	1	28	20	46	71	4	9	23	0	4	21	1	
148	165	270	29	49	16	88	337	542	507	86	106	177	43	31	219	6	
8	11	13	1	30	1	28	20	46	71	4	9	23	0	4	21	1	
294	224	417	50	96	63	154	393	812	871	160	205	300	77	65	530	38	
5	8	13	1	3	0	4	13	17	17	4	9	9	0	1	13	0	
297	227	417	50	123	64	178	400	841	925	160	205	314	77	68	538	39	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	6	3	1	1	1	2	6	12	3	3	4	0	0	5	0	
42	41	115	7	13	6	35	71	245	299	44	50	76	10	16	121	6	
20	24	77	5	7	6	16	30	100	93	12	31	40	4	12	73	8	
224	161	204	35	99	50	121	282	454	481	96	117	187	61	39	325	23	
4	0	5	0	2	1	1	3	10	12	0	1	1	2	1	3	0	
0	0	5	0	0	0	3	3	9	12	1	2	1	0	0	6	1	
4	0	5	0	1	0	1	6	8	7	1	1	3	0	0	2	0	
1	0	0	0	0	0	0	3	9	9	3	0	2	0	0	3	1	
