"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	
468	944	900	688	829	756	791	867	741	517	623	644	622	447	327	357	370	341	224	293	434	150	501	265	301	333	375	365	394	498	259	467	621	399	
390	815	820	560	750	685	695	750	630	420	620	620	600	503	407	468	392	329	261	320	413	170	531	309	334	398	443	443	417	578	278	481	691	412	
0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
271	565	620	420	542	442	507	614	459	335	364	356	362	277	200	277	256	194	183	210	263	115	338	198	237	247	317	244	257	318	180	352	443	261	
18	33	26	11	20	28	29	20	64	14	35	52	26	27	22	33	31	21	8	9	38	2	17	15	6	22	26	42	16	47	9	17	26	19	
101	217	174	129	188	215	159	116	107	71	221	212	196	199	185	158	105	114	70	101	112	53	176	96	91	129	100	157	144	213	89	112	222	132	
18	33	26	11	20	28	29	20	64	14	35	52	42	27	22	33	31	21	8	9	38	2	17	15	6	22	26	42	16	47	9	17	26	19	
271	565	620	420	542	442	507	614	459	335	364	356	362	277	200	277	256	194	183	210	263	115	338	198	237	247	317	244	257	318	180	352	443	261	
5	6	4	1	3	5	7	3	2	2	7	3	2	1	2	2	0	0	2	0	2	0	2	0	1	1	1	0	1	2	1	0	3	2	
284	592	642	430	559	465	529	631	521	347	392	405	402	303	220	308	287	215	189	219	299	117	353	213	242	268	342	286	272	363	188	369	466	278	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	2	1	1	1	1	2	1	1	0	3	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	2	1	0	1	5	4	
115	208	199	152	250	149	190	249	188	109	64	60	46	95	56	107	79	55	57	78	82	44	88	65	82	103	145	78	99	96	78	103	161	107	
2	6	7	3	2	4	3	1	5	0	27	29	31	1	1	3	2	2	0	4	3	2	1	1	2	3	1	3	1	3	1	2	4	1	
159	362	417	264	290	294	321	363	319	237	291	303	320	204	160	189	203	157	129	135	209	70	257	143	153	159	189	195	167	254	104	258	285	160	
5	8	11	8	13	12	4	11	3	0	4	4	2	2	3	7	2	0	2	1	4	1	4	1	4	3	4	5	2	7	3	4	8	4	
2	1	3	1	0	0	1	1	1	0	3	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	
0	3	3	1	1	1	2	2	2	0	3	4	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	2	0	1	1	1	2	0	
1	3	0	0	2	4	7	2	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	
