"УИК №2581"	"УИК №2583"	"УИК №2584"	"УИК №2585"	"УИК №2586"	"УИК №2587"	"УИК №2588"	"УИК №2589"	"УИК №2590"	"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №2595"	"УИК №2596"	"УИК №2597"	"УИК №2598"	"УИК №2599"	"УИК №2600"	"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	
1905	1534	491	112	127	1141	2168	1755	2742	333	101	64	548	342	164	467	112	100	1033	221	73	70	780	75	357	70	930	193	125	85	905	92	297	110	57	414	78	
1950	1550	500	110	120	1100	2200	1750	2800	300	100	60	550	300	160	450	100	100	1050	200	60	60	750	75	350	60	950	190	100	80	900	90	300	100	55	400	70	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
989	788	216	66	55	618	1341	1006	1611	181	61	56	318	196	85	323	57	49	688	128	46	38	449	42	202	34	477	100	59	44	458	60	172	71	30	194	49	
103	115	67	4	17	90	119	85	99	25	7	4	96	55	38	40	22	24	85	41	8	12	97	16	24	13	82	19	23	11	139	15	16	17	13	62	7	
858	647	217	40	48	392	740	659	1090	94	32	0	136	49	37	87	21	27	277	31	6	10	204	17	124	13	391	71	18	25	303	15	112	12	12	144	14	
103	115	67	4	17	90	119	85	99	25	7	4	96	55	38	40	22	24	85	41	8	12	97	16	24	13	82	19	23	11	139	15	16	17	13	61	7	
989	788	216	66	55	618	1341	1006	1610	181	61	56	318	196	85	323	57	49	688	128	46	38	449	42	202	34	477	100	59	44	458	60	172	71	30	194	49	
20	13	1	0	1	7	16	9	13	2	0	0	3	1	1	0	0	0	7	1	1	0	5	0	5	0	3	1	0	0	4	1	5	0	0	1	0	
1072	890	282	70	71	701	1444	1082	1696	204	68	60	411	250	122	363	79	73	766	168	53	50	541	58	221	47	556	118	82	55	593	74	183	88	43	254	56	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	6	2	1	5	7	8	19	2	0	0	5	3	0	3	0	0	0	0	0	0	2	0	2	0	6	0	0	0	8	1	1	0	0	1	0	
219	144	47	4	12	134	268	202	328	26	5	3	65	41	8	47	11	15	129	14	8	2	39	5	24	4	120	10	11	19	60	2	17	4	6	39	3	
100	71	50	3	9	51	96	71	113	13	5	2	23	17	9	21	6	11	48	13	3	1	47	7	18	2	36	20	5	0	50	5	15	2	1	15	7	
725	652	175	60	47	490	1040	781	1195	159	57	52	309	186	104	288	62	46	580	140	41	45	444	45	173	41	385	85	66	35	457	66	148	81	35	197	46	
11	9	1	0	0	9	11	5	11	2	0	0	3	1	0	0	0	1	2	0	0	2	0	0	1	0	3	0	0	0	2	0	1	0	1	0	0	
4	6	1	1	0	7	10	5	18	2	0	0	3	2	1	3	0	0	2	0	1	0	3	1	1	0	4	3	0	1	11	0	1	0	0	1	0	
3	2	1	0	2	2	5	8	6	0	1	2	2	0	0	1	0	0	4	1	0	0	4	0	0	0	1	0	0	0	5	0	0	1	0	0	0	
3	2	1	0	0	3	7	2	6	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	0	
