"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	
809	995	1058	2651	1038	1602	162	775	
800	1000	900	2700	1000	1600	170	800	
262	0	245	266	0	0	49	474	
471	622	569	1657	698	951	52	221	
42	7	2	24	36	53	4	10	
25	371	84	753	266	596	65	95	
304	7	247	290	36	53	53	484	
471	622	569	1656	696	951	52	221	
12	19	12	34	19	20	2	19	
763	610	804	1912	713	984	103	686	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

1	1	8	12	9	5	1	7	
216	184	231	450	183	215	29	190	
69	54	91	131	48	74	11	75	
454	357	446	1254	460	668	60	389	
10	4	12	26	5	7	1	12	
4	5	10	14	3	2	1	4	
3	3	2	11	2	9	0	2	
6	2	4	14	3	4	0	7	
