"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	
197	284	284	135	774	328	531	271	86	
190	300	306	155	775	350	550	300	95	
0	26	0	0	0	0	0	0	0	
129	134	204	92	484	199	295	163	49	
9	45	9	4	53	16	43	19	10	
52	95	93	59	238	135	212	118	36	
9	71	9	4	53	16	43	19	10	
129	134	204	92	484	199	295	163	49	
0	1	0	1	4	2	6	3	0	
138	204	213	95	533	213	332	179	59	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

2	0	0	0	3	3	1	1	0	
12	40	33	1	49	29	35	9	0	
22	7	2	12	36	11	31	19	9	
98	151	170	79	431	164	248	145	49	
1	3	5	2	5	1	7	0	0	
0	0	2	1	1	1	6	0	0	
2	2	0	0	5	2	3	1	0	
1	1	1	0	3	2	1	4	1	
