"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	
1034	1004	907	708	1301	1334	1131	284	414	454	281	592	188	301	672	334	543	214	410	458	150	337	678	397	461	458	619	60	245	381	222	419	267	103	34	184	460	270	160	163	672	331	761	269	260	279	239	1071	796	419	392	312	
1140	1170	1020	705	1315	1375	1185	290	490	505	340	645	220	365	755	395	580	225	445	505	150	335	780	490	510	500	735	76	310	470	275	505	295	105	44	185	535	320	180	185	725	360	780	325	295	300	250	1230	905	580	435	390	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
948	930	815	606	1187	1278	1020	270	379	419	247	557	174	264	606	297	508	196	385	408	122	305	645	359	404	408	529	53	217	351	192	381	234	91	28	164	404	221	143	153	614	277	636	246	226	238	209	950	683	368	312	275	
59	39	33	76	79	36	75	12	34	33	28	35	13	37	64	34	30	17	25	50	28	29	31	35	41	37	81	7	27	21	22	29	28	7	4	18	52	40	12	7	38	23	87	16	19	29	25	89	95	44	75	31	
133	201	172	23	49	61	90	8	77	53	65	53	33	64	85	64	42	12	35	47	0	1	104	96	65	55	125	16	66	98	61	95	33	7	12	3	79	59	25	25	73	60	57	63	50	33	16	191	127	168	48	84	
59	39	33	76	79	36	75	12	34	33	28	35	13	37	64	34	30	17	25	50	28	29	31	35	41	37	81	7	27	21	22	29	28	7	4	18	52	40	12	7	38	23	87	16	19	29	25	89	95	44	75	31	
948	928	815	606	1186	1278	1020	270	379	419	247	557	174	264	606	297	508	196	385	408	122	305	645	359	404	408	529	53	217	351	192	381	234	91	28	164	404	221	143	153	614	277	636	246	226	238	209	950	683	368	312	275	
10	20	9	5	13	27	16	1	29	42	3	4	2	0	8	1	0	0	0	0	0	0	20	2	26	3	15	0	9	4	4	2	0	1	0	0	2	3	6	0	10	5	0	3	4	3	10	14	9	1	20	5	
997	947	839	677	1252	1287	1079	281	384	410	272	588	185	301	662	330	538	213	410	458	150	334	656	392	419	442	595	60	235	368	210	408	262	97	32	182	454	258	149	160	642	295	723	259	241	264	224	1025	769	411	367	301	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	8	4	6	1	5	4	0	0	0	2	0	0	1	3	0	1	0	0	0	0	0	1	3	0	0	1	0	0	2	0	2	2	0	0	0	3	0	1	0	1	1	2	0	0	1	0	1	0	1	0	0	
139	137	129	90	189	203	196	12	15	11	18	0	0	7	91	23	22	3	8	10	3	8	32	43	28	41	74	2	19	60	37	54	26	6	1	4	23	19	5	9	103	38	107	30	35	34	27	70	21	11	26	22	
43	24	34	30	17	18	14	0	14	7	9	0	0	2	25	6	5	1	1	1	1	2	26	14	19	19	20	1	6	26	24	13	3	6	2	7	13	6	5	3	25	10	2	7	9	5	7	33	4	3	5	14	
801	759	659	542	1029	1041	843	268	353	389	239	588	185	291	538	301	504	208	399	445	146	322	583	329	361	373	496	57	209	271	145	335	226	82	29	171	415	231	136	148	505	241	602	222	192	222	188	916	743	396	335	263	
5	6	5	2	8	13	12	1	0	1	1	0	0	0	3	0	3	0	1	1	0	2	6	2	8	4	3	0	1	9	0	1	2	1	0	0	0	2	0	0	1	2	4	0	3	1	0	2	1	0	1	1	
5	8	3	1	7	4	4	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	6	0	2	4	0	0	0	0	4	1	2	2	0	0	0	0	2	0	6	2	2	0	1	1	0	1	0	0	0	0	
1	2	1	4	0	2	2	0	1	1	1	0	0	0	1	0	2	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	0	2	2	0	0	0	0	
1	3	4	2	1	1	4	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	
