"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	
1817	1242	605	460	1507	1704	1518	1395	1446	553	102	92	294	78	60	640	150	145	410	155	246	412	73	216	351	427	195	129	567	396	561	380	556	304	97	342	488	298	101	152	97	405	240	44	311	69	561	492	405	61	132	
1800	1200	600	450	1500	1700	1500	1300	1400	580	109	100	305	78	61	653	155	144	421	160	245	426	78	210	357	443	204	135	593	406	575	388	592	315	105	345	511	307	101	155	101	430	253	53	302	75	585	512	423	63	142	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
889	585	313	249	751	809	838	595	735	339	67	74	181	62	46	291	93	65	220	106	164	253	35	175	246	300	120	87	288	238	363	222	287	193	61	187	274	159	60	94	61	244	142	26	185	42	325	272	282	34	84	
86	53	22	20	49	67	57	76	87	49	5	0	24	0	0	91	7	16	48	14	5	27	5	5	8	33	11	14	32	18	38	39	49	9	4	24	60	5	3	20	7	34	12	5	31	5	37	41	27	5	8	
825	562	265	181	700	824	605	629	578	192	37	26	100	16	15	271	55	63	153	40	76	146	38	30	103	110	73	34	273	150	174	127	256	113	40	134	177	143	38	41	33	152	99	22	86	28	223	199	114	24	50	
86	53	22	20	49	67	57	76	87	49	5	0	24	0	0	91	7	16	48	14	5	27	5	5	8	33	11	14	32	18	38	39	49	9	4	24	60	5	3	20	7	34	12	5	31	5	37	41	27	5	8	
889	585	313	249	751	809	838	595	735	339	67	74	181	62	46	291	93	65	220	106	164	253	35	175	246	300	120	87	288	238	363	222	287	193	61	187	274	159	60	94	61	244	142	26	185	42	325	272	282	34	84	
14	11	5	7	18	13	13	14	8	9	0	0	1	1	0	0	1	0	4	1	4	1	0	0	0	3	1	0	8	2	6	3	6	0	1	4	5	2	2	1	1	2	1	0	1	0	4	7	3	0	0	
961	627	330	262	782	863	882	657	814	379	72	74	204	61	46	382	99	81	264	119	165	279	40	180	254	330	130	101	312	254	395	258	330	202	64	207	329	162	61	113	67	276	153	31	215	47	358	306	306	39	92	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	3	0	2	4	2	2	5	3	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	2	2	0	
138	108	64	39	157	157	152	125	129	54	9	3	13	4	4	39	5	16	32	21	21	37	0	14	18	25	10	7	47	24	62	21	45	26	8	31	25	48	3	9	3	23	29	3	15	6	50	26	30	3	2	
103	50	31	22	60	101	67	76	63	23	1	16	18	5	3	51	7	6	18	11	16	31	5	21	7	48	13	5	42	26	30	45	33	25	5	20	57	19	7	13	3	31	12	0	28	0	45	30	33	3	19	
701	457	225	200	554	586	641	442	601	294	61	51	171	50	39	289	82	59	213	85	125	205	35	143	227	253	106	89	217	203	297	186	249	148	51	145	243	92	50	89	60	215	110	26	168	41	260	246	237	31	70	
5	2	2	1	3	4	5	5	12	3	1	3	1	1	0	1	0	0	1	0	3	0	0	1	1	2	0	0	3	0	2	4	0	1	0	5	1	1	0	1	1	1	0	1	0	0	2	2	0	0	0	
6	6	4	0	2	5	8	3	2	2	0	0	0	0	0	1	5	0	0	2	0	3	0	1	1	0	0	0	2	0	1	1	1	1	0	5	2	1	1	0	0	2	0	0	2	0	0	0	1	0	1	
3	1	1	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
0	0	0	0	2	5	6	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	3	1	0	2	0	0	0	3	0	0	
