"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №1220"	"УИК №1221"	"УИК №2624"	
1641	1541	1569	1540	1662	1802	1633	1618	1536	1601	1834	1443	1535	1583	1640	1461	1521	1540	1688	1533	1626	1745	1517	349	1519	2638	799	655	1064	690	192	82	713	1142	324	722	775	885	985	625	898	2244	957	211	283	1108	262	1005	2005	2677	542	2268	2066	691	2406	1789	1247	106	365	1503	2083	531	305	206	2967	1517	390	260	
1417	1357	1453	1437	1300	1483	1454	1468	1363	1448	1470	1291	1381	1400	1458	1337	1380	1362	1561	1438	1440	1600	1316	322	1368	2193	691	591	967	624	159	73	645	1037	298	649	698	815	893	559	802	1808	859	187	256	889	219	886	1786	2396	495	1897	1727	590	1983	1644	1091	101	322	1376	1831	462	273	180	2770	1456	390	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1006	985	820	990	1047	1294	1024	902	878	819	991	901	1114	1063	882	939	870	922	998	1110	1230	1542	738	295	1321	2149	662	570	856	578	149	66	512	806	184	481	606	739	821	508	764	1353	817	183	211	809	214	534	1078	2260	480	1514	1202	536	1425	1349	696	86	257	905	1021	359	203	159	1224	1294	365	0	
23	136	155	10	28	148	130	117	147	65	107	105	199	240	32	55	67	247	32	23	20	35	46	22	45	39	10	17	71	37	10	7	91	71	86	33	54	31	30	33	35	62	35	2	23	75	5	89	58	104	10	43	138	40	544	2	81	4	18	35	48	22	5	8	19	0	0	255	
388	236	478	437	225	41	300	449	338	564	372	285	68	97	544	343	443	193	531	304	190	23	532	5	2	5	19	4	40	9	0	0	42	160	28	135	38	45	42	18	3	392	7	2	22	5	0	263	650	32	5	340	387	14	14	293	314	11	47	435	762	81	65	13	1527	162	25	5	
23	136	155	10	28	148	130	117	147	65	107	105	199	240	32	55	67	247	32	23	20	35	46	22	45	39	10	17	71	37	10	7	91	71	86	33	54	31	30	33	35	62	35	2	23	75	5	89	58	104	10	43	138	40	544	2	81	4	18	35	48	22	5	8	19	0	0	255	
1006	985	820	990	1047	1294	1024	902	878	819	991	901	1114	1063	882	939	870	922	998	1110	1230	1542	738	295	1321	2149	662	570	856	578	149	66	512	806	184	481	606	739	821	508	764	1353	817	183	211	809	214	534	1078	2260	480	1514	1202	536	1425	1349	696	86	257	904	1021	359	203	159	1224	1294	365	0	
8	17	9	16	16	0	7	24	7	9	9	0	0	0	8	9	7	0	8	4	9	0	55	0	0	7	0	0	0	0	0	0	3	12	0	5	6	2	8	5	4	23	9	1	2	4	1	8	11	7	3	27	9	8	22	21	7	0	1	9	9	6	0	0	11	14	7	24	
1021	1104	966	984	1059	1442	1147	995	1018	875	1089	1006	1313	1303	906	985	930	1169	1022	1129	1241	1577	729	317	1366	2181	672	587	927	615	159	73	600	865	270	509	654	768	843	536	795	1392	843	184	232	880	218	615	1125	2357	487	1530	1331	568	1947	1330	770	90	274	930	1060	375	208	167	1232	1280	358	231	
