"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1959"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1963"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	"УИК №1972"	"УИК №1973"	"УИК №1974"	"УИК №1975"	"УИК №1980"	"УИК №1981"	"УИК №1982"	"УИК №7101"	"УИК №7102"	"УИК №7103"	"УИК №7104"	"УИК №7105"	"УИК №7106"	"УИК №7107"	"УИК №7108"	"УИК №7109"	"УИК №7110"	"УИК №7111"	"УИК №7112"	"УИК №7113"	"УИК №7114"	"УИК №7115"	"УИК №7116"	"УИК №7117"	"УИК №7118"	"УИК №7119"	"УИК №7120"	"УИК №7121"	"УИК №7122"	"УИК №7123"	"УИК №7124"	"УИК №7125"	"УИК №7126"	"УИК №7127"	"УИК №7128"	"УИК №7129"	"УИК №7130"	"УИК №7131"	"УИК №7132"	"УИК №7134"	"УИК №7135"	"УИК №7137"	"УИК №7138"	"УИК №7139"	"УИК №7140"	"УИК №7141"	"УИК №7143"	"УИК №7144"	"УИК №7145"	"УИК №7146"	"УИК №7147"	"УИК №7148"	"УИК №7149"	"УИК №7150"	"УИК №7151"	"УИК №7152"	"УИК №7153"	"УИК №7154"	"УИК №7155"	"УИК №7156"	"УИК №7157"	"УИК №7158"	"УИК №7159"	"УИК №7160"	"УИК №7161"	"УИК №7162"	"УИК №7163"	"УИК №7164"	"УИК №7165"	"УИК №7166"	"УИК №7167"	"УИК №7168"	"УИК №7169"	"УИК №7170"	"УИК №7171"	"УИК №7174"	"УИК №7175"	"УИК №7176"	"УИК №7177"	"УИК №7178"	"УИК №7179"	"УИК №7180"	"УИК №7181"	"УИК №7184"	"УИК №7185"	"УИК №7186"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	19	12	1	0	1	12	6	6	12	4	2	3	1	7	6	10	5	4	11	15	14	15	5	7	10	4	6	7	3	11	5	10	7	9	10	11	5	9	6	8	5	4	7	4	7	9	8	7	7	7	5	2	15	5	7	9	9	8	4	19	4	8	9	4	4	15	10	7	4	7	5	10	4	1	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	
41	105	473	369	160	19	64	349	403	310	318	292	182	143	110	328	287	283	217	173	406	369	533	330	233	202	245	242	185	158	217	262	170	232	271	196	258	246	251	384	324	169	151	176	188	222	238	210	165	188	221	233	224	157	265	303	141	129	164	217	186	278	242	318	154	249	149	330	329	183	207	285	183	341	193	23	2	38	1	1	1	1	1	1	1	0	0	0	9	4	1	10	0	2	5	0	2	1	2	5	6	3	1	0	1	0	0	1	9	1	3	3	3	2	2	3	2	5	0	0	0	0	1	0	0	0	4	0	3	0	1	5	3	4	1	3	3	6	1	2	2	3	4	1	2	1	0	3	2	5	4	3	5	4	0	2	3	
22	51	113	98	36	16	31	72	96	72	64	74	43	40	20	87	82	98	62	70	107	144	81	67	41	93	62	93	69	39	62	86	63	85	80	42	47	66	49	90	91	69	54	49	38	54	87	68	57	76	68	77	71	56	82	74	67	51	46	62	62	72	82	78	46	49	50	77	101	45	79	84	80	80	48	12	3	18	4	3	5	2	0	2	2	0	5	0	2	9	1	20	17	16	26	12	3	4	15	2	4	4	4	3	7	3	2	4	26	4	3	2	3	3	2	5	6	3	0	4	0	0	0	0	1	3	6	0	7	0	1	6	3	0	2	1	3	0	3	1	3	0	1	3	1	11	27	2	2	3	4	4	1	3	0	10	6	
238	502	1098	1299	490	95	250	825	877	938	763	632	370	263	329	655	632	585	440	372	880	1152	1096	615	471	545	571	600	514	428	645	572	504	594	605	468	668	617	504	922	755	462	487	468	455	547	621	982	465	533	546	632	627	299	831	625	355	354	496	783	481	663	606	784	458	738	406	802	827	397	502	639	393	688	415	80	94	91	90	91	91	90	92	90	91	90	90	85	7	14	19	84	105	69	66	74	19	24	5	16	8	17	24	24	21	23	27	22	111	15	17	17	15	17	19	19	19	7	23	12	20	29	28	29	28	18	9	23	14	30	30	13	25	10	15	13	6	12	9	10	9	9	8	8	9	11	0	13	22	12	17	3	7	12	20	12	8	
1	5	24	13	8	0	6	26	12	12	14	4	4	2	5	16	10	8	10	12	19	23	34	17	11	11	18	6	16	13	26	23	13	13	25	24	21	22	19	24	36	14	11	16	20	16	11	32	10	13	18	20	24	7	23	16	13	13	12	12	13	24	13	21	9	9	16	23	28	10	14	20	12	21	12	1	0	1	1	2	1	0	3	1	2	2	0	0	0	0	0	5	3	2	0	1	1	0	3	1	1	1	0	1	0	0	0	1	8	4	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	2	0	0	2	0	0	1	0	2	1	0	0	0	0	1	0	2	2	1	0	0	1	2	0	1	1	0	1	3	
1	4	18	8	2	2	5	7	10	8	9	4	4	3	1	12	5	5	2	3	5	11	7	7	6	8	5	4	5	10	5	8	9	8	8	7	9	7	6	11	6	1	7	3	4	5	10	6	2	5	10	4	11	6	8	6	5	4	5	4	8	8	6	9	12	2	6	7	9	1	3	8	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
0	3	16	6	6	0	2	13	7	11	6	4	2	0	3	11	10	6	7	1	14	11	22	9	5	5	14	2	10	8	10	8	6	12	6	8	7	7	10	4	11	3	5	5	8	12	13	8	3	7	6	6	9	7	10	12	4	8	4	6	5	6	10	8	8	7	1	12	11	6	2	5	2	5	7	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
0	1	21	11	3	0	0	14	7	7	18	5	5	2	0	12	7	6	7	3	16	7	15	10	4	3	10	13	10	7	9	7	10	14	13	6	13	10	12	13	10	10	8	14	17	6	5	10	2	6	7	8	7	4	13	12	11	8	7	12	6	13	6	10	7	4	10	10	13	10	7	8	5	11	4	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	
