"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	
1799	977	969	948	1072	1946	1735	905	882	660	433	866	295	278	321	349	580	276	353	714	572	610	671	562	311	240	864	1168	782	484	178	278	376	278	256	259	223	255	1087	1000	
1915	985	980	950	990	1970	1775	915	880	660	445	880	295	290	330	350	590	290	355	725	595	635	690	580	325	245	840	1150	800	510	185	265	380	260	260	255	215	245	1110	1010	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1164	604	676	607	651	1223	1153	609	576	367	267	565	172	166	147	184	309	177	247	366	225	340	379	324	121	128	619	646	374	246	109	168	191	92	181	156	65	137	576	672	
76	65	53	35	147	83	67	53	65	67	33	51	57	36	63	38	77	20	40	99	123	79	65	88	96	37	51	94	100	67	19	33	40	103	25	24	64	20	131	35	
675	316	251	308	192	664	555	253	239	226	145	264	66	88	120	128	204	93	68	260	247	216	246	168	108	80	170	410	326	197	57	64	149	65	54	75	86	88	403	303	
76	65	53	35	147	83	67	53	65	67	33	51	57	36	63	38	77	20	40	99	123	79	65	88	96	37	51	94	100	67	19	33	40	103	25	24	64	20	130	35	
1164	604	676	607	651	1223	1153	609	576	367	267	565	172	166	147	184	309	177	247	366	225	340	379	324	121	128	619	646	374	246	109	168	191	92	181	156	65	137	575	672	
7	2	10	5	10	18	18	7	4	7	4	8	1	3	0	0	6	0	7	5	5	3	7	6	2	0	7	10	1	3	1	2	2	1	3	0	0	0	9	11	
1233	667	719	637	788	1288	1202	655	637	427	296	608	228	199	210	222	380	197	280	460	343	416	437	406	215	165	663	730	473	310	127	199	229	194	203	180	129	157	696	696	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	7	2	5	12	5	5	6	2	3	9	1	2	1	0	4	2	0	1	4	2	2	1	0	3	3	7	0	2	1	0	0	0	2	0	0	0	6	6	
166	101	133	97	122	186	174	116	102	64	41	107	27	19	17	54	39	18	33	40	27	45	60	57	24	27	58	64	52	39	22	11	14	15	50	22	11	21	94	114	
125	59	67	64	72	134	125	67	47	40	35	78	22	15	33	36	52	16	27	32	47	27	36	36	33	19	74	58	57	29	7	14	26	12	21	17	10	17	75	43	
904	489	485	460	561	915	859	453	462	304	203	400	173	158	152	127	281	158	212	381	262	326	332	304	155	116	518	587	359	239	92	168	184	166	126	140	106	114	505	511	
13	2	16	7	11	16	13	7	7	5	9	5	2	3	4	0	3	0	4	1	2	5	4	0	1	0	3	6	2	0	2	2	2	1	3	0	0	2	3	12	
7	9	3	1	7	13	8	1	9	5	1	3	1	1	1	4	1	1	1	2	1	10	2	4	0	0	2	4	2	0	3	1	3	0	0	0	0	0	4	0	
9	5	5	3	10	7	10	3	2	5	2	2	0	1	0	0	0	2	3	2	0	0	1	4	2	0	4	2	0	1	0	0	0	0	0	1	0	2	5	2	
2	1	3	3	0	5	8	3	2	2	2	4	2	0	2	1	0	0	0	1	0	1	0	0	0	0	1	2	1	0	0	3	0	0	1	0	2	1	4	8	
