"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	
2434	2430	1445	2149	2325	2210	1372	1816	2293	1868	2319	1513	2290	1659	2456	2442	2264	2401	2513	2416	2514	2338	2570	1718	1794	2328	2430	2328	1653	1396	2578	2626	2313	1465	1894	1593	2000	1952	
2100	2000	1200	1800	1900	1800	1200	1500	1900	1500	1900	1300	1900	1400	2100	2000	1900	2000	2000	2000	2000	2000	2000	1400	1500	1800	2000	1900	1400	1100	2100	2100	2000	1200	1600	1300	1600	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1292	1372	792	1161	1257	1157	767	953	1281	1037	1211	840	1317	919	1375	1248	1192	1246	1389	1296	1452	1255	1397	1055	1006	1320	1305	1301	907	781	1527	1451	1230	784	988	841	999	1050	
77	51	20	42	53	60	19	48	59	43	62	30	44	37	38	69	53	48	57	66	39	63	64	30	57	26	57	38	21	30	36	45	44	38	39	46	61	61	
731	577	388	597	590	583	414	499	560	420	627	430	539	444	687	683	655	706	554	638	509	682	539	315	437	454	638	561	472	289	537	604	726	378	573	413	540	489	
77	51	20	42	53	60	19	48	59	43	62	30	44	37	38	69	53	48	57	66	39	63	64	30	57	26	57	38	21	30	36	45	44	38	39	46	61	61	
1289	1372	790	1161	1253	1157	767	953	1278	1037	1211	836	1316	919	1373	1246	1191	1246	1386	1296	1452	1255	1397	1053	1006	1318	1304	1301	907	781	1527	1449	1230	783	988	841	996	1049	
28	19	11	7	36	27	10	12	237	10	13	13	17	14	30	9	25	19	22	9	50	23	18	18	5	25	14	14	13	7	26	21	57	10	15	7	13	10	
1338	1404	799	1196	1270	1190	776	989	1100	1070	1260	853	1343	942	1381	1306	1219	1275	1421	1353	1441	1295	1443	1065	1058	1319	1347	1325	915	804	1537	1473	1217	811	1012	880	1044	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	13	7	12	18	14	9	16	8	8	16	7	11	15	13	13	6	9	17	8	18	16	18	15	10	10	11	12	10	10	12	18	13	10	10	12	9	13	
160	163	95	130	164	158	90	111	116	143	153	99	167	110	203	158	161	197	159	149	177	149	191	153	94	169	169	169	109	90	191	166	120	78	119	98	124	140	
59	64	52	63	76	49	39	46	60	49	54	32	68	44	81	97	66	59	61	60	61	57	63	40	66	82	58	70	40	35	65	64	76	41	62	39	48	42	
994	1023	602	884	892	836	571	735	793	759	920	616	1000	708	965	920	893	911	1072	1023	1064	963	1059	748	754	942	981	969	658	593	1098	1079	920	604	736	676	781	818	
39	44	15	45	56	53	25	32	51	42	59	41	49	24	63	48	34	45	39	36	50	36	59	49	80	55	60	46	37	39	72	63	46	36	33	24	39	38	
8	10	2	17	6	9	6	14	11	12	9	7	11	6	14	3	12	7	10	21	8	18	11	14	6	7	10	10	7	2	10	4	10	10	11	6	7	3	
11	29	8	13	19	30	9	10	20	10	14	15	11	11	16	31	16	15	24	14	27	20	14	12	13	21	13	17	18	12	23	29	9	11	17	8	11	14	
55	58	18	32	39	41	27	25	41	47	35	36	26	24	26	36	31	32	39	42	36	36	28	34	35	33	45	32	36	23	66	50	23	21	24	17	25	32	
