"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	
2184	2188	2126	2272	2189	2119	
2000	2000	2000	2000	2000	2000	
0	0	0	0	0	0	
1440	1305	1241	1440	1281	1396	
64	105	59	79	71	60	
496	590	700	481	648	544	
64	105	59	79	71	60	
1440	1305	1241	1440	1281	1394	
20	16	18	28	24	14	
1484	1394	1282	1491	1328	1440	
0	0	0	0	0	0	
0	0	0	0	0	0	

8	10	13	17	12	6	
364	340	257	339	318	359	
80	82	113	101	93	83	
998	920	858	988	878	948	
11	15	14	13	8	11	
6	9	15	13	9	6	
11	8	10	9	4	15	
6	10	2	11	6	12	
