"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	
92	815	329	199	68	470	503	150	453	407	383	437	1071	101	382	146	637	322	404	91	286	92	995	146	251	139	311	309	1240	664	208	1223	986	416	303	317	455	277	80	196	165	247	160	859	318	306	1075	645	276	86	991	
80	780	320	200	60	465	480	140	410	380	350	400	980	90	370	140	620	320	390	90	285	90	900	120	250	130	280	300	1150	610	200	1130	930	420	300	280	430	260	70	190	160	220	150	800	300	290	1040	580	250	70	880	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62	490	236	140	58	295	319	90	246	265	226	263	713	68	244	97	446	175	274	59	173	73	642	104	148	83	201	179	688	388	128	773	523	290	192	170	253	176	49	118	102	152	95	437	188	210	599	392	171	52	630	
3	42	21	18	2	36	44	21	15	3	15	20	34	3	20	7	38	23	23	8	23	5	43	9	32	3	7	24	92	46	10	55	46	28	25	15	29	18	5	13	4	12	11	33	32	30	55	38	20	6	44	
15	248	63	42	0	134	117	29	149	112	109	117	233	19	106	36	136	122	93	23	89	12	215	7	69	44	72	97	370	176	62	302	361	102	83	95	148	66	16	59	54	56	44	330	80	50	386	150	59	12	206	
3	42	21	18	2	36	44	21	15	3	15	20	34	3	20	7	38	23	23	8	23	5	43	9	33	3	7	24	92	46	10	55	46	28	25	15	29	18	5	13	4	12	11	33	32	30	55	38	20	6	44	
62	490	236	140	58	295	319	90	246	265	226	263	713	68	244	97	446	175	274	59	173	73	642	104	148	83	201	179	688	388	128	773	523	290	192	170	253	176	49	118	102	152	95	437	188	210	599	392	171	52	630	
1	4	2	4	0	0	3	0	6	5	2	0	9	2	5	1	2	3	5	0	0	0	14	2	34	1	4	4	8	3	3	6	6	2	3	4	0	1	0	1	0	3	3	2	1	2	21	7	3	0	5	
64	528	255	154	60	331	360	111	255	263	239	283	738	69	259	103	482	195	292	67	196	78	671	111	147	85	204	199	772	431	135	822	563	316	214	181	282	193	54	130	106	161	103	468	219	238	633	423	188	58	669	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	3	0	0	3	6	0	3	1	1	1	5	1	4	0	0	2	1	0	2	0	4	2	0	1	1	1	8	2	1	8	1	4	1	0	0	0	0	1	1	1	2	0	1	0	8	5	1	0	2	
7	69	31	9	10	23	33	6	30	41	31	17	115	4	22	11	56	18	19	3	27	3	95	2	20	5	33	13	86	61	22	121	56	45	19	49	62	39	9	15	26	33	31	59	32	26	66	55	14	4	89	
9	41	19	19	4	15	21	2	23	21	24	30	65	7	34	9	36	6	21	6	8	2	56	8	19	7	21	16	90	41	9	72	36	20	7	17	18	23	4	9	7	11	8	24	14	32	41	33	18	4	55	
46	407	198	125	42	284	288	95	196	192	177	230	523	55	189	81	379	163	243	57	153	72	493	95	104	71	141	162	562	320	95	596	453	230	179	108	191	129	40	103	69	109	56	375	168	176	497	321	152	49	514	
0	2	1	0	2	4	5	3	0	5	3	0	11	1	6	2	3	2	4	1	4	1	4	2	1	1	1	4	3	3	2	8	6	9	0	4	1	0	1	1	2	2	1	5	1	3	1	3	1	0	4	
1	2	1	0	0	0	2	4	2	0	2	5	5	1	4	0	2	3	3	0	0	0	6	0	1	0	2	1	15	1	4	8	5	5	4	3	4	1	0	1	0	4	3	2	1	1	7	2	1	1	3	
0	0	2	1	2	2	0	1	1	3	0	0	9	0	0	0	6	1	1	0	0	0	3	1	2	0	4	1	4	1	1	5	5	1	3	0	3	0	0	0	1	1	1	2	0	0	9	1	0	0	1	
0	4	0	0	0	0	5	0	0	0	1	0	5	0	0	0	0	0	0	0	2	0	10	1	0	0	1	1	4	2	1	4	1	2	1	0	3	1	0	0	0	0	1	1	2	0	4	3	1	0	1	
