"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	
378	143	383	269	1140	2243	569	373	232	2086	2710	367	225	319	226	1759	159	2025	286	
396	155	436	269	1114	2175	511	378	236	2149	2558	349	218	324	238	1698	160	1916	265	
21	0	0	0	1	25	0	9	0	201	855	0	0	5	0	307	0	1	0	
312	123	291	251	887	1915	457	315	190	1795	1668	339	184	232	212	1319	155	1826	249	
11	7	62	18	31	69	8	17	29	47	25	7	12	15	8	21	4	18	4	
52	25	83	0	195	166	46	37	17	106	10	3	22	72	18	51	1	71	12	
32	7	62	18	32	94	8	26	29	248	880	7	12	20	8	328	4	19	4	
312	123	291	251	887	1914	457	315	190	1795	1668	339	184	232	212	1319	155	1826	249	
4	0	2	18	12	16	5	1	2	5	5	1	1	5	3	55	0	4	2	
340	130	351	251	907	1992	460	340	217	2038	2543	345	195	247	217	1592	159	1841	251	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	2	2	5	2	1	0	1	2	0	0	3	1	20	0	6	1	
18	5	18	3	15	42	28	14	8	23	9	20	17	20	2	18	2	36	20	
17	3	29	5	32	99	47	25	10	36	23	9	28	37	6	37	4	72	40	
301	118	293	239	849	1806	369	290	197	1965	2501	310	149	181	207	1442	153	1679	185	
1	1	3	0	5	15	8	3	2	2	1	1	1	3	0	16	0	11	2	
2	2	3	0	1	7	1	1	0	6	0	2	0	2	1	18	0	4	0	
0	0	3	1	2	12	3	3	0	2	3	1	0	1	0	18	0	3	2	
1	1	2	1	1	6	2	3	0	3	4	2	0	0	0	23	0	30	1	
