"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	
1910	2441	358	337	185	130	917	754	1407	1643	250	259	315	280	268	510	344	208	141	
1900	2450	350	350	200	130	960	780	1445	1700	250	280	340	280	290	550	380	220	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
759	1286	133	115	79	68	434	311	817	851	148	146	171	118	112	275	195	113	66	
79	121	43	75	35	31	92	59	67	107	42	54	51	29	20	58	37	47	26	
1062	1043	174	160	86	31	434	410	561	742	60	80	118	133	158	217	148	60	53	
79	121	43	75	35	31	92	59	67	107	42	54	51	29	20	58	37	47	26	
759	1286	133	115	79	68	434	311	817	850	148	146	171	118	112	275	195	113	66	
9	12	3	0	0	0	10	7	10	6	1	0	0	1	3	2	1	0	0	
829	1395	173	190	114	99	516	363	874	951	189	200	222	146	129	331	231	160	92	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	9	0	1	0	3	6	1	6	4	1	1	1	0	0	3	1	1	2	
156	291	26	10	16	8	78	41	167	192	14	24	32	4	5	43	42	31	14	
80	106	28	19	16	4	46	37	75	78	27	25	16	9	14	32	30	4	7	
570	953	117	156	78	84	370	270	604	641	144	148	168	131	107	246	155	123	66	
7	15	1	1	1	0	11	4	6	12	1	1	0	2	3	2	1	0	1	
5	6	1	2	0	0	1	3	6	9	0	0	3	0	0	2	0	0	1	
4	9	0	0	1	0	2	6	6	11	1	0	0	0	0	1	1	0	1	
1	6	0	1	2	0	2	1	4	4	1	1	2	0	0	2	1	1	0	
