"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	
342	1048	1030	179	108	94	84	128	130	97	172	196	126	155	
350	1100	1100	205	115	110	100	130	115	110	225	245	125	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	652	618	145	60	76	70	68	74	53	72	74	70	71	
92	99	85	17	25	9	14	35	33	34	31	51	30	65	
143	349	397	43	30	25	16	27	8	23	122	120	25	54	
92	99	85	17	25	9	14	35	33	34	31	51	30	65	
115	652	618	145	60	76	70	68	74	53	72	74	70	71	
1	16	11	0	1	0	1	2	0	1	2	0	2	0	
206	735	692	162	84	85	83	101	107	86	101	125	98	136	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	7	1	2	2	0	3	0	1	1	1	2	0	
23	89	75	18	8	3	1	11	9	6	15	7	5	11	
12	55	68	18	7	6	13	6	8	5	9	8	6	10	
163	571	526	121	67	72	68	81	88	71	74	106	85	113	
1	4	6	0	0	0	0	0	2	1	1	1	0	2	
5	5	7	2	0	0	1	0	0	2	0	2	0	0	
0	2	3	1	0	1	0	0	0	0	1	0	0	0	
0	3	0	1	0	1	0	0	0	0	0	0	0	0	
