"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	
2352	1711	2227	786	1568	1256	1610	2411	3138	1937	2778	
2200	1615	2110	780	1470	1270	1660	2409	3500	2000	3707	
692	643	428	0	234	929	683	1798	2155	1530	2727	
1228	802	1195	539	1030	242	875	571	875	386	51	
7	45	14	3	27	2	25	13	0	1	0	
273	125	473	238	179	97	77	27	470	83	929	
699	688	442	3	261	931	708	1811	2155	1531	2727	
1228	802	1195	539	1030	242	875	571	872	386	51	
18	15	6	5	30	17	22	18	33	21	7	
1909	1475	1631	537	1261	1156	1561	2364	2994	1896	2771	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

14	4	2	2	2	2	6	8	12	11	1	
225	112	177	50	171	101	94	100	113	34	72	
233	44	142	50	137	204	65	120	152	66	102	
1393	1283	1254	409	907	838	1340	2069	2652	1767	2587	
20	14	23	14	23	5	19	33	21	6	5	
10	5	12	2	4	3	13	12	9	5	1	
7	3	10	5	11	3	8	10	15	3	1	
7	10	11	5	6	0	16	12	20	4	2	
