"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	
243	152	250	207	376	556	795	1629	1188	503	233	668	116	244	93	216	162	300	425	440	
249	148	244	222	370	560	805	1680	1185	514	238	666	123	248	98	215	163	295	387	416	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174	89	176	157	237	316	382	981	644	378	190	440	84	166	66	136	100	155	243	209	
34	18	34	20	65	104	162	52	129	55	21	130	26	47	19	60	38	113	90	197	
41	41	34	45	68	140	261	647	412	81	27	96	13	35	13	19	25	27	54	10	
34	18	34	20	65	104	162	52	129	55	21	130	26	47	19	60	38	113	90	197	
174	89	176	157	237	316	382	981	644	378	190	440	84	166	66	136	100	155	243	209	
2	1	2	1	2	7	4	16	1	4	0	4	1	0	1	0	0	0	1	0	
206	106	208	176	300	413	540	1017	772	429	211	566	109	213	84	196	138	268	332	406	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	1	0	0	1	10	5	3	1	8	0	0	0	0	1	2	1	2	
4	1	26	9	24	28	70	173	134	17	28	57	4	17	1	7	9	15	19	29	
7	2	2	20	8	5	46	89	61	13	12	33	7	15	2	8	12	20	22	12	
192	102	175	146	264	371	412	717	561	385	169	458	98	180	81	178	112	226	290	357	
0	0	2	0	3	1	3	12	1	5	0	0	0	1	0	2	2	0	0	0	
1	0	3	0	0	6	3	7	5	3	0	6	0	0	0	1	1	1	0	3	
0	0	0	0	1	0	5	5	3	3	1	4	0	0	0	0	0	3	0	1	
1	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	1	1	0	2	
