"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	
919	1459	1472	1031	1915	1615	892	801	899	1516	162	220	277	102	176	128	1039	539	390	297	1255	560	338	265	718	695	135	431	966	365	121	171	173	380	191	300	183	243	206	262	245	314	215	733	341	150	205	305	
736	1195	1221	802	1412	1335	742	654	740	1248	130	181	226	81	136	111	858	451	316	247	1006	460	288	214	584	595	103	353	806	310	101	138	150	326	157	235	151	198	168	220	197	249	176	595	280	131	176	259	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
610	868	802	698	1136	880	506	433	523	916	60	89	118	65	103	93	633	222	235	189	775	271	194	122	438	307	78	273	494	188	67	74	72	147	119	160	108	125	127	134	108	169	133	411	201	76	129	186	
25	40	71	11	70	47	50	33	26	69	28	39	76	10	24	13	35	79	21	12	29	65	40	43	66	57	19	31	64	50	16	14	22	53	19	51	23	44	21	53	43	36	17	83	51	31	32	30	
101	287	348	93	206	408	186	188	191	263	42	53	32	6	9	5	190	150	60	46	202	124	54	49	80	231	6	49	248	72	18	50	56	126	19	24	20	29	20	33	46	44	26	101	28	24	15	43	
25	40	71	11	70	47	50	33	26	69	28	39	76	10	24	13	35	79	21	12	29	65	40	43	66	57	19	31	64	50	16	14	22	53	19	51	23	44	21	53	43	36	17	83	51	31	32	30	
610	868	802	698	1136	880	506	433	523	915	60	89	118	65	103	93	633	222	235	189	775	271	194	122	438	307	78	273	494	188	67	74	72	147	119	160	108	125	127	134	108	169	133	411	201	76	129	186	
6	8	15	7	19	11	6	4	3	13	1	0	0	0	0	3	9	6	1	4	7	2	3	1	7	8	3	6	3	2	0	0	2	2	0	1	1	0	6	0	0	1	0	3	1	0	1	0	
629	900	858	702	1187	916	550	462	546	971	87	128	194	75	127	103	659	295	255	197	797	334	231	164	497	356	94	298	555	236	83	88	92	198	138	210	130	169	142	187	151	204	150	491	251	107	160	216	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	9	4	1	11	6	4	3	4	3	0	0	2	1	0	0	1	3	1	1	5	1	0	1	1	1	0	1	3	0	0	0	0	0	0	0	1	1	3	0	0	0	0	2	0	0	0	0	
74	126	82	108	141	117	66	56	55	134	3	4	11	4	3	4	80	40	40	30	100	22	8	23	31	52	4	27	47	8	4	6	11	17	9	13	7	7	13	10	2	18	22	47	7	7	4	6	
31	63	49	39	88	64	30	41	31	54	6	9	18	2	5	2	49	26	23	13	67	14	9	12	19	23	13	17	25	16	10	2	5	9	5	9	6	5	18	7	7	27	12	34	14	9	4	5	
498	674	696	534	911	713	441	357	445	762	78	114	159	68	117	96	513	223	188	149	605	291	212	124	438	276	75	250	472	207	69	79	73	167	123	187	115	153	104	166	141	155	115	401	223	89	151	205	
10	7	9	4	16	9	3	3	6	4	0	1	0	0	1	0	5	1	3	2	8	2	1	0	5	2	2	0	4	3	0	0	1	0	1	0	0	1	0	0	1	1	0	4	2	1	0	0	
6	10	4	3	9	4	5	2	4	8	0	0	2	0	0	0	6	0	0	2	6	0	1	4	2	2	0	2	1	2	0	0	2	5	0	0	1	2	1	3	0	0	0	1	2	1	1	0	
4	4	9	8	3	1	0	0	1	3	0	0	2	0	1	1	4	2	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	2	0	0	0	
4	7	5	5	8	2	1	0	0	3	0	0	0	0	0	0	1	0	0	0	4	2	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	2	1	0	1	0	0	0	
