"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	
2451	1668	1591	1510	1529	1643	1698	2252	1578	465	1813	514	169	355	217	651	236	198	134	867	273	148	946	1015	210	1135	497	80	
2470	1670	1610	1570	1570	1710	1740	2360	1635	470	1850	555	145	365	220	710	260	210	140	885	295	120	995	1040	215	1135	535	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	
1254	710	929	712	932	905	793	1131	716	173	980	270	107	136	83	277	118	48	43	274	103	57	323	433	62	551	233	75	
26	180	19	21	13	20	14	50	22	24	63	25	0	30	18	57	8	52	13	151	23	16	181	121	36	66	18	0	
1190	780	662	837	625	785	933	1179	897	273	807	260	38	199	119	376	134	110	84	460	169	47	491	486	117	488	284	25	
26	180	19	21	13	20	14	50	22	24	63	25	0	30	18	57	8	52	13	151	23	16	181	121	36	96	18	0	
1243	710	927	712	932	905	793	1131	716	173	980	270	107	136	83	277	118	48	43	274	103	57	323	433	62	551	233	75	
13	20	11	13	18	8	7	15	13	2	19	1	0	0	1	1	0	1	1	3	0	0	2	17	0	12	3	1	
1256	870	935	720	927	917	800	1166	725	195	1024	294	107	166	100	333	126	99	55	422	126	73	502	537	98	635	248	74	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	10	10	13	3	1	12	4	0	5	4	0	0	0	2	0	0	3	7	0	0	4	4	1	7	2	0	
183	130	129	86	132	128	115	166	98	28	152	50	5	11	3	15	10	7	1	31	3	4	62	59	13	43	20	1	
131	80	90	73	79	90	87	134	90	25	103	32	16	19	9	29	9	11	6	37	10	2	52	62	14	41	21	5	
870	610	649	520	652	653	566	819	494	136	726	202	81	132	86	283	106	80	43	335	107	67	363	402	67	529	202	65	
24	24	17	11	20	15	11	9	9	2	14	1	0	1	0	0	0	0	1	4	1	0	11	5	2	5	0	0	
10	5	11	9	7	6	10	5	5	3	7	1	2	0	0	2	0	1	0	2	2	0	5	0	0	4	1	1	
14	9	13	4	7	10	6	8	18	0	7	1	3	2	2	2	0	0	1	3	1	0	1	4	1	2	0	1	
20	7	16	7	17	12	4	13	7	1	10	3	0	1	0	0	1	0	0	3	2	0	4	1	0	4	2	1	
