"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	
2687	2508	2045	2134	2406	2252	2437	2490	1888	2673	2706	1907	2256	1970	1334	1806	2113	2607	2206	1103	2657	2233	2305	2337	2877	1464	1170	2054	2081	1901	2670	2403	1789	1484	1490	1664	2361	1485	2162	1747	2145	1290	1860	2607	2213	2350	2415	1880	2127	1683	2407	2533	1877	1890	1897	2092	1562	2357	2480	2048	1725	2254	2131	2008	2106	2430	2579	2150	1798	2194	325	
2500	2500	2000	2000	2000	2000	2500	2000	1500	2500	2500	2000	2000	2000	1000	1500	2000	2500	2000	1000	2500	2000	2000	2000	2500	1000	1000	1500	2000	1500	2000	2000	1500	1500	1500	1500	2000	1000	2000	1500	2000	1000	1500	2500	2000	2000	2000	2000	2000	1500	2000	2500	2000	2000	1500	2000	1500	2000	2000	2000	1500	2000	2000	2000	2000	2500	2500	2000	1500	2000	324	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1615	1307	1228	1161	1344	1383	1282	1430	1200	1393	1533	1150	1295	1140	711	1152	1193	1390	1218	598	1451	1347	1288	1443	1536	783	678	1134	1158	1096	1443	1369	1077	930	873	870	1381	695	1265	1049	1152	717	1105	1486	1223	1327	1350	1155	1241	971	1267	1493	1156	1146	1057	1261	1010	1437	1316	1325	921	1261	1308	1115	1379	1681	1574	1196	1100	1283	242	
40	38	24	14	36	34	35	27	19	17	19	16	11	31	18	32	37	18	35	15	42	25	27	25	24	14	14	29	15	16	24	39	19	19	20	36	34	4	28	25	43	19	40	24	19	23	31	32	36	28	38	28	19	29	21	29	21	51	33	40	17	37	28	32	28	28	21	27	14	21	33	
845	1155	748	825	620	583	1183	543	281	1090	948	834	694	829	271	316	770	1092	747	387	1007	628	685	532	940	203	308	337	827	388	533	592	404	551	607	594	585	301	707	426	805	264	355	990	758	650	619	813	723	501	695	979	825	825	422	710	469	512	651	635	562	702	664	853	593	791	905	777	386	696	49	
40	38	24	14	36	34	35	27	19	17	19	16	11	31	18	32	37	18	35	15	42	25	27	25	24	14	14	29	15	16	24	39	19	19	20	36	34	4	28	25	43	19	40	24	19	23	31	32	36	28	38	28	19	29	21	29	21	51	33	40	17	37	28	32	28	28	21	27	14	21	33	
1615	1307	1223	1161	1344	1373	1280	1430	1194	1390	1531	1149	1293	1136	710	1152	1193	1390	1216	598	1446	1346	1288	1428	1531	783	677	1133	1153	1094	1441	1369	1077	926	873	870	1380	695	1263	1049	1152	716	1105	1482	1223	1327	1350	1155	1241	963	1267	1490	1156	1135	1057	1258	1008	1436	1316	1320	921	1261	1308	1114	1360	1679	1572	1196	1100	1278	242	
13	13	17	10	11	24	12	20	12	13	12	15	10	20	10	13	15	18	9	9	14	17	17	19	14	4	9	8	10	9	18	15	48	9	17	11	18	8	10	11	15	18	11	20	21	10	19	22	16	17	15	20	11	10	13	6	11	17	15	9	10	13	11	26	11	31	27	11	8	15	4	
1642	1332	1230	1165	1369	1383	1303	1437	1201	1394	1538	1150	1294	1147	718	1171	1215	1390	1242	604	1474	1354	1298	1434	1541	793	682	1154	1158	1101	1447	1393	1048	936	876	895	1396	691	1281	1063	1180	717	1134	1486	1221	1340	1362	1165	1261	974	1290	1498	1164	1154	1065	1281	1018	1470	1334	1351	928	1285	1325	1120	1377	1676	1566	1212	1106	1284	271	
