"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №3463"	
2302	3056	1759	2381	3754	1886	2505	1001	836	991	1090	1502	1551	693	563	117	1117	487	781	588	852	1188	669	322	629	133	387	421	786	1604	266	583	909	232	1455	708	815	
2084	2776	1594	2191	3407	1735	2273	932	755	936	1064	1537	1357	658	522	127	1106	449	753	565	761	1068	641	304	629	132	365	367	703	1652	242	534	832	210	1483	647	733	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1597	1560	1413	1207	1746	1647	1881	588	517	485	641	677	914	348	401	69	773	379	372	265	609	964	481	245	491	92	255	225	626	1114	192	418	469	148	1293	587	710	
105	50	27	36	40	17	28	165	112	80	89	101	49	181	34	17	117	38	168	162	149	101	24	30	14	3	81	47	73	89	30	51	101	26	32	15	15	
382	1166	154	948	1621	71	364	179	126	371	334	759	394	129	87	41	216	32	213	138	3	3	136	29	124	37	29	95	4	449	20	65	262	36	158	45	8	
105	50	27	36	40	17	28	165	112	80	89	101	49	181	34	17	117	38	168	162	149	101	24	30	14	3	81	47	73	89	30	51	101	26	32	15	15	
1597	1560	1413	1207	1746	1647	1881	588	517	485	641	677	914	348	401	69	773	379	372	265	609	964	481	245	491	92	255	225	626	1114	192	418	469	148	1293	587	710	
15	9	9	9	0	0	0	0	4	1	7	9	0	4	0	0	10	0	0	2	1	7	2	0	0	0	0	2	0	17	0	6	10	5	12	0	13	
1687	1601	1431	1234	1786	1664	1909	753	625	564	723	769	963	525	435	86	880	417	540	425	757	1058	503	275	505	95	336	270	699	1186	222	463	560	169	1313	602	712	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	8	19	0	13	8	16	2	5	4	7	5	2	2	3	2	9	2	1	2	4	6	1	0	2	1	1	2	3	4	2	3	1	0	7	6	6	
202	255	186	2	255	146	196	65	66	70	103	122	230	52	29	2	82	23	43	58	66	99	45	14	66	3	16	40	40	73	7	56	62	12	173	43	76	
87	116	94	10	135	70	66	46	28	58	62	87	17	13	22	6	57	18	33	26	52	71	36	9	11	2	29	28	17	46	12	20	13	8	61	58	48	
1341	1174	1041	1220	1315	1413	1571	628	519	418	535	528	688	442	375	74	718	369	451	336	615	863	414	251	417	89	288	195	628	1043	188	366	475	146	1027	451	553	
20	17	28	1	38	15	32	8	1	8	5	8	13	7	3	1	8	3	2	1	5	8	3	0	1	0	0	4	2	4	4	11	8	0	12	15	10	
11	11	20	0	17	4	13	0	1	3	5	10	3	5	1	1	2	1	3	2	4	5	1	0	7	0	1	0	5	6	3	4	1	1	16	13	6	
5	10	15	0	10	4	3	2	3	3	3	6	5	3	2	0	0	1	4	0	9	3	2	0	1	0	1	0	0	7	3	2	0	0	11	9	8	
11	10	28	1	3	4	12	2	2	0	3	3	5	1	0	0	4	0	3	0	2	3	1	1	0	0	0	1	4	3	3	1	0	2	6	7	5	
