"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	
512	1449	1005	378	160	1005	858	1642	1292	721	1540	1150	1351	1734	1508	1769	398	992	1068	1119	1040	997	1893	1691	1186	
613	1465	1020	385	160	1010	965	1675	1310	835	1435	1160	1370	1760	1540	1810	400	1010	1085	1130	1070	1010	1930	1725	1195	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
411	1213	827	325	137	840	714	1408	1098	601	1271	950	1110	1481	1291	1481	324	840	909	936	834	824	1543	1401	986	
61	132	98	35	12	92	78	129	111	72	154	118	144	140	120	161	48	89	98	102	142	97	211	170	120	
141	120	95	25	11	78	173	138	101	162	10	92	116	139	129	168	28	81	78	92	94	89	176	154	89	
61	132	98	35	12	92	78	129	111	72	154	118	144	140	120	161	48	89	98	102	142	97	211	170	120	
410	1210	826	323	135	839	712	1407	1095	599	1268	949	1109	1479	1290	1478	322	839	906	935	832	823	1541	1399	985	
2	2	2	1	1	2	1	3	2	2	4	1	2	2	1	2	1	2	2	1	3	1	4	3	2	
469	1340	922	357	146	929	789	1533	1204	669	1418	1066	1251	1617	1409	1637	369	926	1002	1036	971	919	1748	1566	1103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	3	3	2	5	3	3	4	2	4	3	4	5	5	3	3	3	3	3	3	3	3	5	4	
16	53	37	10	6	35	28	56	52	25	55	35	55	65	54	68	7	26	37	50	31	41	60	62	53	
3	15	9	4	3	9	4	14	12	3	19	11	12	16	10	20	5	9	10	11	10	9	17	14	12	
438	1256	861	328	126	868	745	1444	1122	631	1325	1004	1168	1516	1323	1532	342	875	938	960	915	855	1649	1469	1020	
2	4	3	3	2	3	2	4	3	2	3	3	2	3	4	3	3	4	3	3	4	2	4	4	3	
3	3	3	3	2	3	2	4	3	2	3	3	3	4	4	3	3	4	3	3	2	3	5	3	3	
2	2	4	3	3	3	3	5	4	3	5	4	3	3	5	3	3	2	3	4	3	3	5	4	4	
2	3	2	3	2	3	2	3	4	1	4	3	4	5	4	5	3	3	5	2	3	3	5	5	4	
