"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	
2549	1286	1117	1436	302	1914	1567	897	942	1255	503	518	1878	110	103	321	444	156	1112	118	119	131	361	652	561	490	305	145	
2530	1320	1130	1450	310	1970	1620	860	980	1290	520	520	1900	90	100	300	440	150	1110	110	100	130	280	550	560	490	280	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1265	713	449	636	146	1003	591	295	410	552	217	205	1067	47	56	147	174	58	502	51	35	60	166	419	307	238	127	88	
41	25	50	29	15	29	85	112	45	42	48	37	40	28	19	39	34	19	102	20	24	11	71	20	36	51	45	12	
1224	582	631	785	149	938	944	453	524	696	255	278	793	15	25	114	232	73	506	39	41	59	43	111	217	201	108	60	
41	25	50	29	15	29	85	112	45	42	48	37	40	28	19	39	34	19	102	20	24	11	71	20	36	51	45	12	
1265	713	449	636	146	1003	591	295	410	552	217	205	1067	47	56	147	174	58	502	51	35	60	166	419	307	238	127	88	
26	14	6	18	1	16	8	9	10	12	5	5	15	0	0	1	4	0	9	0	0	1	0	9	3	1	0	0	
1280	724	493	647	160	1016	668	398	445	582	260	237	1092	75	75	185	204	77	595	71	59	70	237	430	340	288	172	100	
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	6	5	5	0	8	4	0	5	11	1	6	8	0	3	0	0	0	5	0	0	0	2	2	5	4	0	0	
172	97	43	80	27	137	81	49	40	56	25	22	83	5	2	14	22	9	81	5	5	4	17	53	42	23	7	9	
107	43	49	53	14	89	52	36	41	35	35	12	95	6	4	22	16	5	52	6	6	6	20	64	31	27	9	7	
928	535	371	482	112	744	498	302	348	452	189	190	865	64	66	142	162	61	441	59	48	58	192	294	254	227	148	83	
27	8	8	13	1	16	10	8	3	4	2	3	16	0	0	2	2	0	6	1	0	2	2	6	3	3	0	0	
13	16	3	7	0	5	2	2	4	14	2	1	10	0	0	1	0	1	5	0	0	0	2	1	1	1	5	1	
8	7	7	1	5	9	8	0	2	5	3	1	7	0	0	1	2	1	2	0	0	0	2	8	1	0	1	0	
12	12	7	6	1	8	13	1	2	5	3	2	8	0	0	3	0	0	3	0	0	0	0	2	3	3	2	0	
