"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №3644"	"УИК №3645"	"УИК №3646"	
2625	2453	2751	2376	2503	1937	2531	2862	2802	2286	2606	2493	2686	2703	2613	2624	2550	2957	2811	2489	2105	2435	2637	2446	83	164	499	
2150	1850	1950	2150	2000	1500	2050	2200	2250	1850	2150	2050	2050	2150	2100	2150	2050	2300	2200	2000	1750	1950	2100	1950	400	400	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1449	1408	1623	1493	1354	1045	1373	1692	1637	1233	1396	1308	1431	1426	1410	1334	1445	1665	1700	1425	1188	1438	1463	1251	41	50	497	
69	54	83	63	91	67	47	91	40	37	80	76	81	59	67	80	82	45	73	79	62	35	84	69	40	100	0	
632	388	244	594	555	388	630	417	573	580	674	666	538	665	623	736	523	590	427	496	500	477	553	630	319	250	103	
69	53	83	63	91	13	47	52	40	37	80	76	81	58	67	80	82	45	73	79	62	35	84	69	40	100	0	
1448	1408	1620	1492	1354	1040	1373	1690	1634	1233	1394	1303	1429	1424	1410	1331	1444	1665	1698	1425	1188	1435	1460	1249	41	50	497	
10	15	33	25	12	10	18	40	23	8	9	22	57	18	71	21	32	17	17	11	52	21	28	11	0	0	8	
1507	1446	1670	1530	1433	1043	1402	1702	1651	1262	1465	1357	1453	1464	1406	1390	1494	1693	1754	1493	1198	1449	1516	1307	81	150	489	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

27	21	17	19	17	12	15	13	26	10	14	18	13	16	10	17	19	21	10	17	18	16	21	11	0	1	6	
206	170	217	232	191	97	176	207	227	133	142	178	189	173	139	131	157	218	216	185	143	175	199	157	9	17	75	
60	75	70	74	55	76	66	94	76	70	59	76	104	52	86	75	73	58	78	55	47	68	71	67	2	7	29	
1012	1021	1177	1083	1021	793	1028	1162	1137	967	1106	940	1005	1065	1020	1033	1093	1197	1305	1093	867	1029	1032	929	62	119	348	
103	63	75	58	57	31	54	93	75	38	54	50	65	62	62	55	52	92	64	63	55	65	73	49	5	4	16	
4	14	18	9	10	5	9	16	12	10	4	11	11	9	11	17	12	11	12	10	11	6	15	14	1	0	2	
32	28	24	23	24	13	17	34	29	13	27	20	20	29	35	23	28	32	24	17	13	20	33	27	1	1	3	
63	54	72	32	58	16	37	83	69	21	59	64	46	58	43	39	60	64	45	53	44	70	72	53	1	1	10	
