"УИК №2588"	"УИК №2589"	"УИК №2600"	"УИК №2601"	
1018	543	965	373	
950	550	900	350	
0	0	0	0	
712	340	690	264	
32	34	16	12	
206	176	194	74	
32	34	16	12	
712	340	690	264	
19	9	6	3	
725	365	700	273	
0	0	0	0	
0	0	0	0	

5	1	7	3	
79	28	86	34	
56	23	55	22	
560	305	535	211	
7	5	4	1	
10	1	4	1	
3	0	3	1	
5	2	6	0	
