"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	
1973	982	255	173	313	274	334	157	884	179	292	264	283	170	265	
2000	1000	265	180	320	285	350	150	930	170	285	270	290	170	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1199	716	180	96	209	166	178	102	510	66	113	131	164	81	158	
95	17	38	49	73	81	54	44	154	95	111	45	71	35	36	
706	267	47	35	38	38	118	4	266	9	61	94	55	54	76	
95	17	38	49	73	81	54	44	154	95	111	45	71	35	36	
1199	716	180	96	209	166	178	102	510	66	113	130	164	81	158	
14	0	1	0	3	0	3	0	3	0	0	2	2	0	4	
1280	733	217	145	279	247	229	146	661	161	224	173	233	116	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	3	2	0	1	1	3	0	2	2	5	3	3	0	1	
223	118	23	29	16	12	45	17	47	14	22	17	22	19	32	
81	29	18	12	9	9	14	12	23	11	21	7	15	8	9	
948	566	168	98	245	225	160	117	571	131	174	140	192	87	146	
8	7	4	2	2	0	2	0	5	2	0	4	1	1	0	
3	1	1	1	2	0	1	0	3	1	2	0	0	0	0	
5	6	0	2	3	0	1	0	8	0	0	0	0	1	1	
2	3	1	1	1	0	3	0	2	0	0	2	0	0	1	
