"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	"УИК №2127"	
801	2161	2230	1982	2172	1345	2215	2066	802	2091	2110	2190	1935	2040	2110	2039	1918	1901	2075	959	1232	2039	556	856	
800	2150	2000	2000	2000	1350	2250	2100	800	2100	2150	2250	2000	2100	2150	2100	1950	1900	2100	950	1200	2050	550	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
542	1345	1182	1232	1399	895	1444	1348	562	1433	1498	1460	1230	1391	1496	1376	1288	1316	1459	533	1020	1423	294	504	
10	41	284	47	37	25	22	27	21	34	21	24	35	23	18	28	12	18	6	25	44	9	16	8	
248	764	534	721	564	430	784	725	217	633	631	766	735	686	636	696	650	566	635	392	136	618	240	338	
10	41	284	47	37	25	22	27	21	34	21	24	35	23	18	28	12	18	6	25	44	9	16	8	
542	1345	1182	1232	1398	895	1442	1348	562	1433	1498	1458	1229	1391	1496	1376	1287	1315	1459	533	1020	1423	294	504	
5	28	21	21	14	10	24	22	9	19	20	20	13	15	30	12	15	26	12	8	5	14	4	13	
547	1358	1445	1258	1421	910	1440	1353	574	1448	1499	1462	1251	1399	1484	1392	1284	1307	1453	550	1059	1418	306	499	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	13	15	9	21	5	14	10	5	19	11	11	7	8	20	4	12	13	10	3	3	13	3	4	
108	177	197	179	175	106	232	176	89	178	192	204	154	204	197	167	158	168	209	72	79	186	34	73	
50	134	150	114	82	86	108	101	29	103	113	102	127	130	115	108	99	93	120	62	92	105	38	53	
364	989	1029	923	1093	675	1037	1022	435	1093	1122	1073	923	1003	1093	1066	966	972	1065	401	839	1061	224	354	
10	21	30	15	14	12	22	20	5	18	31	23	21	26	32	24	18	31	23	4	23	19	2	3	
3	4	6	5	5	5	6	8	2	9	10	16	3	7	5	6	7	7	3	6	7	6	2	4	
4	8	6	10	19	14	12	12	5	10	16	13	9	8	13	10	15	7	10	1	11	15	0	4	
6	12	12	3	12	7	9	4	4	18	4	20	7	13	9	7	9	16	13	1	5	13	3	4	
