"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	
1382	401	303	511	426	336	279	181	216	336	462	153	180	143	
1400	410	300	520	430	340	280	185	215	330	470	160	180	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
777	267	195	381	249	135	161	114	140	254	378	109	112	80	
155	105	91	59	103	133	84	40	46	54	48	38	55	41	
468	38	14	80	78	72	35	31	29	22	44	13	13	19	
155	105	91	59	103	133	84	40	46	54	48	38	55	41	
777	267	195	381	249	134	161	114	140	254	378	109	112	80	
7	0	4	8	3	1	0	0	0	0	4	0	0	1	
925	372	282	432	349	266	245	154	186	308	422	147	167	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	1	1	5	1	4	0	0	0	4	2	0	0	
130	34	22	42	44	17	21	17	23	7	52	6	34	9	
50	13	4	24	13	21	19	5	14	9	19	1	12	5	
719	321	252	356	284	224	196	128	147	290	334	138	120	105	
8	1	1	1	1	1	2	1	1	2	5	0	1	0	
6	2	2	7	1	2	3	2	1	0	6	0	0	1	
6	0	0	0	1	0	0	0	0	0	0	0	0	0	
1	0	0	1	0	0	0	1	0	0	2	0	0	0	
