"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	
2129	585	344	589	293	629	1020	266	149	546	808	1060	566	451	668	1100	676	903	1200	1489	1350	1647	1659	
2200	600	300	600	300	650	1050	250	150	550	800	1100	600	500	700	1100	700	850	1200	1350	1350	1650	1650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2033	560	285	522	271	546	943	244	136	488	710	955	561	378	623	1079	541	834	1067	1150	1251	1469	1518	
74	25	13	21	8	35	26	6	6	26	58	52	5	47	12	21	32	16	133	200	99	178	99	
93	15	2	57	21	69	81	0	8	36	32	93	34	75	65	0	127	0	0	0	0	3	33	
74	25	13	21	8	35	26	6	6	26	58	52	5	47	12	21	32	16	133	200	99	178	99	
2033	560	285	522	271	546	943	244	136	488	710	955	561	378	623	1079	541	834	1067	1150	1251	1469	1518	
5	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	
2102	585	298	543	279	581	969	250	142	514	768	1007	554	424	635	1100	573	850	1200	1350	1350	1647	1617	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	3	1	1	2	1	
127	36	14	33	12	36	60	14	10	31	47	62	33	26	39	72	19	52	96	83	83	101	103	
92	21	3	24	2	25	42	9	7	22	34	44	22	16	28	53	2	37	82	59	59	72	90	
1854	519	279	479	246	512	853	221	124	453	675	887	495	374	560	974	546	750	1002	1190	1190	1451	1401	
3	1	1	1	0	1	2	1	0	1	1	1	1	1	1	0	6	1	0	2	2	2	1	
21	6	1	5	19	6	9	2	1	5	8	10	1	4	6	0	0	8	15	13	13	16	16	
2	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	2	1	1	2	0	
2	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	5	
