"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	
893	1310	1295	2270	2829	2406	1522	2566	
750	1250	1100	2000	2500	2100	1400	2300	
0	0	0	0	0	0	0	0	
701	1033	782	1796	2289	1931	1090	1062	
1	6	151	2	7	1	75	3	
48	211	167	202	204	168	235	1235	
1	6	151	2	7	1	75	3	
701	1033	782	1796	2289	1931	1090	1062	
13	12	8	5	22	17	14	19	
689	1027	925	1793	2274	1915	1151	1046	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

18	10	7	14	18	16	9	9	
83	62	58	101	128	99	60	225	
21	40	36	30	88	75	45	0	
532	842	758	1470	1868	1588	955	691	
20	12	11	11	27	23	13	71	
4	2	2	4	4	3	3	2	
3	24	22	23	54	46	27	3	
8	35	31	140	87	65	39	45	
