"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	
273	427	658	601	243	395	300	328	320	249	94	94	265	115	258	300	286	338	86	518	268	149	293	125	321	85	118	479	250	145	218	262	262	
280	430	680	620	230	400	310	330	330	250	100	100	280	120	280	310	300	350	80	530	280	140	300	120	330	85	115	490	280	180	250	260	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
171	240	391	328	150	227	180	212	199	141	65	68	175	79	181	230	162	223	49	308	167	71	190	95	200	60	55	280	182	104	142	165	156	
23	25	43	24	11	24	12	37	9	16	14	10	16	7	36	22	16	14	5	18	19	29	18	12	31	4	23	69	18	10	26	24	16	
86	165	246	268	69	149	118	81	122	93	21	22	89	34	63	58	122	113	26	204	94	40	92	13	99	21	37	141	80	66	82	71	108	
23	25	43	24	11	24	12	37	9	16	14	10	16	7	36	22	16	14	5	18	19	29	18	12	31	4	23	69	18	10	26	24	16	
171	240	391	328	150	227	180	212	199	141	65	68	175	79	181	230	162	223	49	308	167	71	190	95	200	60	55	280	182	104	142	165	156	
5	6	4	2	0	4	0	1	3	0	0	1	3	0	1	0	3	2	2	2	1	0	1	1	4	0	1	5	5	3	1	0	2	
189	259	430	350	161	247	192	248	205	157	79	77	188	86	216	252	175	235	52	324	185	100	207	106	227	64	77	344	195	111	167	189	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	1	2	2	2	1	7	2	1	0	0	2	2	0	1	0	1	1	2	1	1	0	0	0	0	1	3	4	1	2	0	3	
23	38	57	44	21	33	28	48	29	23	6	8	24	14	11	22	20	47	10	50	24	7	7	4	28	5	2	38	23	11	11	13	25	
18	28	44	41	15	32	23	21	17	9	9	12	20	3	20	18	15	24	12	30	15	12	23	9	24	7	6	47	15	7	26	28	30	
143	186	318	254	122	173	135	161	154	117	62	57	140	66	182	207	133	161	26	239	144	77	172	92	169	51	68	248	150	89	119	147	107	
2	1	3	3	0	1	1	3	0	4	0	0	1	1	1	1	2	1	1	3	1	1	1	0	2	0	0	3	1	1	1	0	2	
1	2	3	1	1	3	1	1	2	1	2	0	0	0	1	3	2	0	2	0	0	2	1	0	1	1	0	3	2	2	3	1	1	
2	2	4	3	0	3	2	5	0	2	0	0	0	0	1	0	1	1	0	0	0	0	3	1	2	0	0	2	0	0	1	0	2	
0	0	0	2	0	0	1	2	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	
