"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	
1035	869	699	839	452	290	276	366	643	249	
1135	880	720	840	540	300	280	380	640	250	
0	0	0	0	0	0	0	0	0	0	
475	712	546	650	421	197	225	264	514	220	
37	30	13	32	31	53	24	70	39	13	
623	138	161	158	88	50	31	46	87	17	
37	30	13	32	31	53	24	70	39	13	
475	712	546	650	421	197	225	264	514	220	
11	9	6	11	0	0	0	0	0	0	
501	733	553	671	452	250	249	334	553	233	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

2	2	4	4	1	0	0	0	0	1	
88	83	69	44	11	7	4	1	28	5	
17	13	14	14	5	1	1	0	0	2	
370	611	453	595	430	238	242	333	525	223	
13	17	5	10	1	2	1	0	0	2	
6	6	5	2	2	2	1	0	0	0	
1	1	1	0	1	0	0	0	0	0	
4	0	2	2	1	0	0	0	0	0	
