"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	
175	48	257	499	838	104	76	245	157	122	238	68	50	724	256	71	73	81	646	140	41	242	130	171	2027	2139	
205	53	340	578	1010	114	97	286	188	166	350	88	41	855	290	81	128	102	800	110	43	290	150	230	2200	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	
134	40	209	362	522	69	62	191	124	91	171	68	37	464	188	54	73	68	409	83	22	179	92	143	1282	1435	
4	0	12	38	45	7	5	13	5	9	3	0	2	50	23	2	0	13	47	17	0	8	5	6	99	115	
67	13	119	178	443	38	30	82	59	66	176	20	2	341	79	25	55	21	344	10	17	103	45	81	819	950	
4	0	12	38	45	7	5	13	5	9	3	0	2	50	23	2	0	13	47	17	4	8	13	6	99	115	
134	40	209	362	522	69	62	191	124	91	171	68	37	464	188	54	73	68	409	83	22	179	92	143	1282	1435	
2	0	3	5	8	2	4	2	1	2	0	0	1	6	2	0	0	1	3	1	0	0	0	0	7	16	
136	40	218	395	559	74	63	202	128	98	174	68	38	508	209	56	73	80	453	99	26	187	105	149	1374	1534	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	3	3	0	1	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	1	5	5	
21	3	13	74	71	13	4	27	7	9	22	4	8	72	12	5	8	3	17	1	12	19	11	16	244	190	
3	2	22	53	36	0	2	5	2	13	2	0	1	25	13	3	4	1	19	5	1	5	0	7	88	120	
110	34	177	262	438	58	55	169	118	75	147	64	28	399	181	46	57	76	411	91	13	159	93	123	999	1202	
1	0	2	1	5	2	1	0	1	0	0	0	0	5	1	0	0	0	3	0	0	2	1	1	12	7	
1	0	3	2	2	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	1	0	0	13	3	
0	1	1	0	3	0	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	1	0	1	9	5	
0	0	0	0	1	1	0	1	0	1	0	0	0	2	1	0	0	0	3	0	0	0	0	0	4	2	
