"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №187"	"УИК №188"	
1259	613	727	179	1107	162	384	277	471	1579	1787	
1200	600	700	200	1100	160	390	300	450	1500	1600	
0	17	0	0	718	0	0	0	0	32	0	
564	344	398	161	270	121	291	175	240	783	1049	
117	44	71	0	16	15	24	9	75	153	62	
519	195	231	39	96	24	75	116	135	532	489	
117	61	71	0	734	15	24	9	75	185	62	
564	344	398	161	269	121	291	175	240	783	1049	
9	10	4	0	3	0	4	4	9	30	25	
672	395	465	161	1000	136	311	180	306	938	1086	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

0	2	5	0	5	0	2	0	3	11	11	
65	23	65	23	159	13	16	6	71	110	209	
41	25	47	11	145	25	45	10	48	90	124	
544	336	343	123	657	93	244	163	172	692	689	
6	4	2	1	19	1	3	1	3	14	20	
6	3	0	1	4	1	1	0	0	12	10	
2	0	1	2	6	2	0	0	2	6	5	
8	2	2	0	5	1	0	0	7	3	18	
