"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №3700"	"УИК №3701"	"УИК №3702"	
2680	2301	420	2091	1140	1342	2464	2783	2517	2769	2708	2305	2923	2829	2050	2559	1971	1366	1985	1738	2216	2101	2439	1616	2269	151	122	1148	
1900	1600	360	1700	1100	1100	1900	1900	2400	2100	2100	1800	2600	2300	1600	1900	1500	1000	1500	1300	1800	1900	1900	1300	1900	160	140	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1399	1205	267	1331	829	712	1281	1621	2165	1576	1541	1456	2302	1999	1283	1587	1109	856	1203	980	1313	1075	1390	919	1219	147	119	610	
34	19	8	33	50	46	34	28	8	44	45	37	29	0	59	49	51	20	34	34	42	83	50	49	75	1	0	474	
467	376	85	336	221	342	585	251	227	480	514	307	269	301	258	264	340	124	263	286	445	742	460	333	606	12	21	216	
34	19	8	33	50	46	34	28	8	44	45	37	29	0	59	49	51	20	34	34	42	83	50	48	75	1	0	474	
1395	1205	267	1330	829	712	1280	1621	2164	1575	1539	1453	2298	1999	1281	1584	1106	854	1199	980	1309	1075	1389	918	1219	147	119	610	
15	10	3	21	7	8	15	23	34	20	14	20	55	20	19	28	20	11	26	9	24	14	21	9	17	4	4	19	
1414	1214	272	1342	872	750	1299	1626	2138	1599	1570	1470	2272	1979	1321	1605	1137	863	1207	1005	1327	1144	1418	957	1277	144	115	1065	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	

13	6	2	11	7	3	19	12	8	17	26	14	17	5	13	28	11	9	14	8	14	11	9	11	14	1	1	11	
230	207	43	206	132	85	190	255	223	206	238	226	292	198	240	267	154	134	166	140	185	112	188	124	179	14	10	116	
90	72	10	74	49	30	71	68	129	74	77	79	84	113	37	106	38	33	40	30	71	72	76	64	60	10	7	62	
938	811	188	952	608	570	842	1127	1633	1136	1076	1020	1724	1553	839	1021	821	574	837	711	943	847	981	666	907	105	79	802	
66	48	13	36	38	27	74	71	77	81	74	63	76	52	89	86	32	57	74	50	48	42	57	43	49	6	13	30	
11	9	2	10	3	12	19	15	12	12	7	9	13	11	4	8	12	2	13	11	8	11	17	7	10	2	0	7	
15	29	5	15	16	5	26	29	23	33	36	18	28	26	31	31	23	19	26	20	19	14	29	15	17	2	4	15	
51	32	9	38	19	18	58	49	33	40	36	41	38	21	68	58	46	35	37	35	39	35	61	27	41	4	1	22	
