"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1914"	
1704	2226	2180	2128	1904	1476	1045	960	2159	1764	1771	1795	2312	2626	1964	2150	1394	2281	1362	1687	2153	1637	1785	2140	2238	2113	2080	2082	2075	2091	1759	1601	1830	2352	1080	2329	2326	1450	1548	1362	1140	750	1321	1536	1501	2158	1968	1273	86	3579	542	
1400	1975	2023	2128	1700	1300	958	900	1980	1550	1800	1800	2200	2450	1964	2165	1394	2281	1300	1687	1950	1500	1926	1948	2077	2113	1854	1850	1850	2000	1450	1450	1830	2596	1164	2150	2214	1512	1548	1467	1341	812	1300	1550	1300	2011	1700	1200	98	3509	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1390	734	828	892	1646	1249	930	539	903	900	1736	1709	1349	2376	909	886	881	1011	1214	1683	866	632	1777	659	768	1642	1772	1164	1034	1913	440	367	1723	2352	959	1261	964	1450	1545	1356	1138	747	1119	1047	1119	1999	1334	957	77	3378	489	
8	22	1116	0	54	28	28	339	266	370	35	86	0	0	103	19	79	6	16	4	5	16	8	1196	573	336	31	195	58	0	0	1	1	0	121	211	366	0	3	6	2	3	100	58	8	12	116	57	0	9	1	
2	1219	79	1236	0	23	0	22	811	280	28	5	851	74	952	1260	434	1264	70	0	1079	852	141	93	729	135	51	491	758	87	1010	1082	106	244	84	678	884	62	0	105	201	62	81	445	173	0	250	186	21	122	10	
8	22	1116	0	54	28	28	339	266	370	35	86	0	0	103	19	79	6	16	4	5	16	8	1196	573	336	31	195	58	0	0	1	1	0	121	211	366	0	3	6	2	3	100	58	8	12	116	57	0	9	1	
1390	712	828	892	1646	1249	930	539	903	900	1736	1709	1349	2376	909	886	881	1011	1214	1683	866	632	1777	659	768	1642	1772	1164	1034	1913	440	367	1723	2352	959	1261	964	1449	1545	1356	1138	747	1119	1047	1119	1999	1334	957	77	3378	489	
0	14	67	10	0	0	0	0	23	10	0	0	35	0	12	11	11	10	0	24	23	15	0	43	17	0	12	29	22	0	6	2	0	0	0	16	13	8	0	0	6	9	0	3	6	0	29	11	0	10	0	
1398	720	1877	882	1700	1277	958	878	1146	1260	1771	1795	1314	2376	1000	894	949	1007	1230	1663	848	633	1785	1812	1324	1978	1791	1330	1070	1913	434	366	1724	2352	1080	1456	1317	1441	1548	1362	1134	741	1219	1102	1121	2011	1421	1003	77	3377	490	
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	4	2	9	3	0	1	3	2	6	0	4	43	1	2	1	1	2	1	2	1	1	0	0	0	1	2	1	0	1	0	16	19	10	4	2	2	12	2	12	6	2	1	5	27	2	4	0	7	0	
62	131	202	173	90	61	25	55	236	170	68	91	291	65	199	176	191	184	41	80	182	160	101	196	347	95	318	253	186	61	104	89	111	96	49	171	154	254	100	71	191	114	75	96	88	67	250	151	3	370	31	
2	6	11	6	10	9	15	1	14	10	8	1	10	20	11	9	4	6	2	1	4	2	0	4	8	0	4	3	2	0	0	0	15	11	5	6	4	3	14	5	7	4	2	1	2	17	20	8	2	10	1	
1304	564	1572	684	1536	1169	897	806	866	1060	1623	1663	985	2097	762	692	737	800	1141	1534	641	455	1610	1598	951	1815	1448	1034	863	1832	319	270	1504	2111	982	1263	1149	1162	1352	1227	908	584	1111	1003	1022	1822	1117	818	72	2964	441	
0	11	77	9	2	3	1	3	15	11	4	0	9	3	9	8	11	11	0	0	14	10	0	9	10	0	10	6	13	0	5	4	8	11	3	7	5	10	0	1	1	5	0	1	2	8	28	12	0	9	0	
2	1	3	1	5	1	3	1	3	0	18	2	7	62	9	3	0	2	4	2	2	2	3	1	1	0	1	0	2	0	1	0	11	23	9	2	2	3	3	4	7	5	6	0	0	43	2	6	0	6	2	
1	0	2	1	45	30	16	1	4	2	40	37	2	70	2	1	1	1	39	44	1	0	68	0	0	68	3	1	2	20	3	0	52	75	22	2	0	4	66	50	6	21	20	0	1	19	1	3	0	7	14	
24	5	6	6	3	1	1	10	5	5	4	1	6	16	7	3	4	2	1	1	2	3	2	4	7	0	6	31	1	0	1	3	7	6	0	1	1	3	1	2	2	2	3	0	1	8	1	1	0	4	1	
