"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	
1064	911	707	1516	240	157	161	681	
1124	922	735	1587	240	163	173	752	
0	0	0	0	0	0	0	0	
488	544	388	811	119	82	79	328	
143	83	58	90	51	20	27	76	
493	295	289	686	70	61	67	348	
143	83	58	90	51	20	27	76	
488	544	388	811	119	82	79	328	
12	4	7	11	0	0	0	1	
619	623	439	890	170	102	106	403	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

3	1	5	12	1	1	0	3	
86	160	123	222	29	8	19	75	
92	71	51	117	27	11	8	32	
427	381	240	515	110	82	77	279	
2	2	8	4	3	0	0	3	
8	4	5	6	0	0	2	3	
1	2	4	6	0	0	0	2	
0	2	3	8	0	0	0	6	
