"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	
1434	1472	1606	1622	886	1211	2052	2289	1724	2445	2111	976	1307	2490	2551	1863	2188	2119	1815	1870	2517	1247	1346	1792	1933	1549	1279	1851	1665	1837	2137	1707	2604	1804	915	1864	1157	791	129	569	476	820	1422	941	1734	1350	633	835	1154	1084	1654	590	
1300	1500	1500	1600	1000	1000	2000	2300	1600	2300	2000	900	1300	2200	2500	1600	2000	2000	1700	1900	2500	1200	1200	1600	1800	1400	1200	1700	1500	1500	2000	1500	2500	1500	800	1600	1050	800	100	600	500	700	1200	900	1600	1300	600	800	1100	1000	1700	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1096	1099	1278	1183	578	847	1486	1676	1381	1695	1505	771	936	1719	2041	1303	1674	1659	1265	1434	1926	941	989	1317	1445	1229	984	1299	1188	1419	1664	1088	2032	1261	721	1303	921	544	64	413	338	482	1076	607	1115	976	461	599	699	756	1065	590	
26	20	23	18	8	13	15	19	21	30	21	17	21	11	12	16	19	16	24	14	19	19	22	8	22	16	49	17	16	20	19	19	41	30	17	20	41	6	2	21	13	9	15	11	13	18	15	25	15	38	50	0	
178	381	199	399	414	140	499	605	198	575	474	112	343	470	447	281	307	325	411	452	555	240	189	275	333	155	167	384	296	61	317	393	427	209	62	277	88	250	34	166	149	209	109	282	472	306	124	176	386	206	585	210	
26	20	23	18	8	13	15	19	21	30	21	17	21	11	12	16	19	16	24	14	19	19	22	8	22	16	49	17	16	20	19	19	41	30	17	20	41	6	2	21	13	9	15	11	13	18	15	25	15	38	50	0	
1096	1099	1278	1183	578	847	1457	1676	1381	1695	1505	771	936	1719	2041	1303	1674	1659	1265	1434	1926	941	989	1317	1421	1229	984	1299	1188	1419	1664	1088	2032	1261	721	1303	921	544	64	413	338	482	1076	607	1115	976	461	599	699	756	1065	590	
12	16	13	0	5	5	14	7	3	9	18	3	5	21	12	10	21	15	9	9	14	7	13	7	13	10	10	0	3	17	14	9	18	11	8	16	7	1	1	3	1	3	10	0	273	0	3	0	9	6	12	4	
1110	1103	1288	1201	581	855	1458	1688	1399	1716	1508	785	952	1709	2041	1309	1672	1660	1280	1439	1931	953	998	1318	1430	1235	1023	1316	1201	1422	1669	1098	2055	1280	730	1307	955	549	65	431	350	488	1081	618	855	994	473	624	705	788	1103	586	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	5	12	4	8	7	12	5	12	16	3	10	7	11	5	11	15	13	10	10	4	5	2	4	5	9	6	11	10	6	8	12	11	3	6	9	4	0	3	3	2	7	5	9	6	0	4	3	7	1	7	
97	107	118	98	77	95	175	208	75	174	169	90	106	197	79	136	221	183	154	155	203	105	138	138	143	136	104	155	159	122	190	117	231	133	48	157	83	68	11	28	18	50	130	55	118	93	57	71	64	83	123	62	
120	128	112	120	45	48	106	151	80	118	150	50	74	144	132	123	148	148	92	116	158	82	58	93	97	80	64	98	74	112	130	85	164	91	41	87	64	43	3	40	40	42	71	69	92	112	35	66	80	76	90	42	
861	849	1023	945	433	659	1118	1261	1205	1344	1110	613	725	1272	1735	1009	1235	1244	970	1119	1495	732	764	1055	1141	967	815	1020	920	1148	1284	838	1588	1004	610	1014	772	415	48	350	282	380	830	477	611	756	364	466	549	605	863	463	
7	3	11	14	11	21	19	25	11	32	33	14	15	38	35	16	23	30	22	19	38	15	14	7	18	25	12	13	22	15	32	29	27	15	12	19	8	10	2	3	3	7	22	5	12	10	6	6	3	6	7	4	
7	3	6	7	8	8	13	12	12	17	10	4	9	17	10	6	13	10	12	5	9	6	6	10	5	8	6	8	9	8	6	7	17	6	6	8	1	0	0	3	2	3	6	4	9	8	7	4	4	7	11	4	
5	5	6	1	1	7	10	9	5	10	13	4	6	14	13	6	11	11	11	7	11	5	3	10	11	9	6	7	3	2	10	9	7	9	5	7	7	4	0	3	1	1	8	2	2	5	1	5	1	2	3	3	
5	5	7	4	2	9	10	10	6	9	7	7	7	20	26	8	10	19	6	8	7	4	10	3	11	5	7	9	3	5	11	5	9	11	5	9	11	5	1	1	1	3	7	1	2	4	3	2	1	2	5	1	
