"УИК №1577"	"УИК №1578"	"УИК №1579"	"УИК №1580"	"УИК №1581"	"УИК №1582"	"УИК №1583"	"УИК №1584"	"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №4194"	"УИК №4225"	"УИК №4226"	
1707	936	669	1465	1475	1488	1533	1033	598	1446	1400	537	794	1388	1013	731	1582	735	841	1110	413	1537	1485	1874	919	667	1400	678	699	655	704	739	751	360	380	337	621	509	348	548	327	1118	366	691	681	860	236	911	1815	1192	1158	1209	1332	313	973	1056	441	476	541	457	512	428	552	561	198	325	
1500	900	700	1300	1400	1400	1400	900	550	1400	1300	500	700	1400	900	700	1400	650	750	1000	350	1300	1400	1900	800	600	1300	600	600	600	600	600	650	250	300	250	650	400	300	500	250	900	300	600	600	750	200	850	1850	1000	1000	1100	1000	250	850	900	300	400	450	350	400	350	500	600	250	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1021	469	453	799	807	836	871	642	378	895	807	290	470	861	504	333	857	455	519	603	263	838	884	1421	527	407	761	472	497	305	404	537	457	174	123	189	418	305	178	310	190	742	284	333	283	392	149	490	1799	779	591	561	711	198	528	605	203	244	189	248	288	199	276	561	198	221	
324	64	47	224	83	144	29	6	97	19	43	71	9	32	53	41	45	13	53	55	19	105	28	302	105	5	133	8	32	37	28	26	26	40	60	12	72	95	76	97	45	107	16	47	108	106	41	40	16	68	32	39	57	52	77	33	27	22	132	13	20	38	48	0	0	99	
155	367	200	277	510	420	500	252	75	486	450	139	221	507	343	326	498	182	178	342	68	357	488	177	168	188	406	120	71	258	168	37	167	36	116	49	160	0	46	93	15	51	0	220	209	252	10	320	35	153	377	500	232	0	245	262	70	134	129	89	92	113	176	39	52	30	
324	64	47	224	83	144	29	6	97	19	43	71	9	32	53	41	45	13	53	55	19	105	28	302	105	5	133	8	32	37	28	26	26	40	60	12	72	95	76	97	45	107	16	47	108	106	41	40	16	68	32	39	57	52	77	33	27	22	132	13	20	38	48	0	0	99	
1021	469	453	799	805	835	871	642	378	895	807	290	469	859	504	333	857	455	519	603	263	837	884	1421	527	407	761	472	497	305	404	537	457	174	123	189	418	305	178	310	190	742	284	333	283	392	149	490	1799	779	591	561	711	198	528	605	203	244	189	248	288	199	276	561	198	221	
12	4	4	12	16	16	14	3	19	14	10	2	4	8	2	4	13	4	7	6	2	13	12	13	28	6	12	8	5	4	7	6	6	0	0	5	3	0	4	3	4	11	0	10	1	1	0	55	11	10	9	5	9	0	8	10	0	3	5	1	4	4	0	3	0	0	
1333	529	496	1011	872	963	886	645	456	900	840	359	474	883	555	370	889	464	565	652	280	929	900	1710	604	406	882	472	524	338	425	557	477	214	183	196	487	400	250	404	231	838	300	370	390	497	190	475	1804	837	614	595	759	250	597	628	230	263	316	260	304	233	324	558	198	320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	1	3	4	7	7	5	2	8	7	3	4	1	1	1	6	1	3	3	3	5	12	12	6	4	5	3	0	1	2	7	3	1	1	1	2	0	4	4	0	8	2	4	2	3	0	1	3	5	1	3	6	1	4	3	0	4	4	0	1	1	0	1	0	3	
156	52	48	173	123	167	157	131	64	145	135	54	65	128	85	52	149	87	88	103	41	143	163	247	73	60	142	66	57	46	82	95	176	56	37	35	41	21	23	56	14	84	3	60	92	65	2	67	46	67	96	82	107	6	105	125	27	29	34	26	36	18	25	1	2	10	
59	40	17	63	56	63	78	40	19	53	55	21	38	59	42	30	77	35	46	55	12	47	44	79	43	24	60	23	25	19	25	15	22	14	14	7	23	3	13	25	15	40	6	31	18	18	23	41	21	84	38	47	51	9	40	41	22	15	10	17	13	19	33	4	3	3	
1066	405	422	733	664	699	608	442	353	658	611	270	353	664	413	278	621	328	411	473	210	698	638	1323	452	307	642	354	434	260	307	432	261	140	127	147	412	376	201	309	195	676	284	269	262	402	162	347	1708	654	466	443	565	232	435	438	178	209	264	212	248	187	250	546	192	300	
