"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	
1008	1171	944	1200	1139	977	1268	1511	1318	1324	1328	1025	1270	1254	799	1608	1391	1120	1016	1423	
940	1070	920	1200	1090	940	1130	1330	1200	1190	1220	955	1130	1155	720	1500	1290	1030	1000	1330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
867	989	866	1122	1029	882	1085	1191	914	939	1008	823	1063	954	681	1427	1096	885	827	889	
73	68	43	33	59	47	31	129	247	116	159	80	55	156	34	61	127	101	163	282	
0	13	11	45	2	11	14	10	39	135	53	52	12	45	5	12	67	44	10	159	
73	68	43	33	59	47	31	129	247	116	159	80	55	156	34	61	127	101	163	282	
867	989	866	1122	1029	882	1085	1191	914	939	1008	823	1063	954	681	1427	1096	885	826	889	
4	4	2	5	4	2	3	15	6	12	1	4	4	4	2	11	10	3	7	5	
936	1053	907	1150	1084	927	1113	1305	1155	1043	1166	899	1114	1106	713	1477	1213	983	982	1166	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	2	2	1	1	3	3	8	12	3	2	5	5	2	8	1	4	3	6	
5	1	23	51	23	8	6	12	9	138	53	3	7	4	10	9	2	3	7	10	
24	35	15	10	12	37	49	27	31	103	55	42	19	4	20	26	74	17	21	33	
895	1005	861	1078	1033	873	1039	1250	1092	767	1046	842	1054	1083	674	1421	1125	953	940	1101	
3	2	1	2	3	2	2	6	4	9	3	2	7	1	3	2	1	2	2	6	
2	1	1	3	4	3	4	0	2	7	2	3	5	2	2	4	5	2	5	6	
3	2	2	1	3	2	4	3	4	5	1	2	10	3	1	4	3	1	3	2	
2	1	2	3	5	1	6	4	5	2	3	3	7	4	1	3	2	1	1	2	
