"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	
2103	1644	1681	1432	1408	1863	1266	951	2679	2167	1760	1488	2440	1868	1700	1649	1234	1731	1942	1566	2051	1516	1528	2262	2475	
2100	1600	1700	1400	1300	1900	1100	900	2500	2000	1700	1500	2500	1800	1500	1500	1200	1800	1900	1500	2000	1500	1500	2100	2200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1513	713	960	699	950	1055	687	406	1317	1158	839	829	992	882	887	836	690	896	941	807	1023	801	837	1768	1373	
289	141	279	307	22	162	175	263	71	255	241	153	224	324	148	47	42	84	231	113	323	109	106	181	325	
298	746	461	394	328	683	238	231	1112	587	620	518	1284	594	465	617	468	820	728	580	654	590	557	151	502	
289	141	279	306	22	162	175	263	71	255	241	153	224	324	148	47	42	84	231	113	323	109	105	181	325	
1513	713	960	699	950	1055	687	406	1317	1158	839	829	992	882	887	836	690	896	941	806	1023	801	837	1768	1373	
17	10	14	8	12	9	13	6	15	17	17	13	13	10	19	22	13	9	19	15	10	13	22	42	9	
1785	844	1225	997	960	1208	849	663	1373	1396	1063	969	1203	1196	1016	861	719	971	1153	904	1336	897	920	1907	1689	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	5	2	6	3	7	4	11	16	5	1	10	10	8	8	6	6	8	11	8	6	7	16	4	
135	112	151	98	145	107	106	70	208	177	158	112	147	143	149	131	112	182	180	120	164	107	89	250	247	
40	46	50	36	85	45	27	27	77	50	50	32	64	58	46	39	32	47	58	43	65	40	20	80	90	
1574	661	990	844	672	1029	680	544	1033	1118	811	805	956	946	792	662	547	703	864	707	1054	706	793	1504	1290	
14	7	5	4	22	9	12	5	22	14	9	7	10	16	13	7	4	3	10	6	11	15	2	12	19	
6	5	13	4	10	4	5	3	10	6	6	4	4	5	3	6	6	9	11	8	10	4	3	17	13	
6	4	4	6	9	7	7	6	6	9	15	5	9	14	3	3	3	11	12	6	10	13	5	15	15	
4	4	7	3	11	4	5	4	6	6	9	3	3	4	2	5	9	10	10	3	14	6	1	13	11	
