"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	
1279	1414	1132	1645	1462	1691	1487	1556	1525	1448	1320	1681	1536	1405	1597	1609	1604	1664	1500	1464	
1200	1350	1050	1550	1350	1600	1400	1400	1400	1350	1250	1650	1450	1300	1450	1500	1500	1500	1400	1350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
466	811	664	863	858	997	874	941	959	866	831	1019	1005	833	994	1075	1070	1063	968	918	
17	17	15	19	70	32	15	26	9	12	31	41	19	26	16	10	10	65	20	16	
717	522	371	668	422	571	511	433	432	472	388	590	426	441	440	415	420	372	412	416	
17	17	15	19	70	32	15	26	9	12	31	41	19	26	16	10	10	65	20	16	
466	811	664	863	855	997	872	941	957	866	831	1019	1003	833	994	1075	1069	1063	967	918	
8	8	8	13	15	16	14	20	14	13	8	12	15	10	6	15	16	16	16	9	
475	820	671	869	910	1013	873	947	952	865	854	1048	1007	849	1004	1070	1063	1112	971	925	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	9	5	8	12	12	6	7	10	9	6	10	9	2	12	14	6	6	7	6	
51	92	88	97	105	106	98	118	104	94	80	136	128	99	123	129	129	155	87	77	
66	93	72	104	116	105	85	97	96	112	95	107	106	79	119	116	116	132	99	86	
332	586	478	602	628	742	638	670	689	601	634	772	726	638	695	764	749	775	720	710	
13	18	11	29	22	20	20	26	24	20	11	13	17	8	19	17	34	12	19	18	
6	4	2	6	8	8	10	7	7	6	6	4	4	6	1	5	5	8	10	5	
1	9	3	11	4	9	9	16	12	10	11	6	10	7	13	14	15	14	14	11	
4	9	12	12	15	11	7	6	10	13	11	0	7	10	22	11	9	10	15	12	
