"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	
2455	818	1394	1990	1128	492	115	606	152	157	278	231	925	83	99	241	312	105	75	201	155	147	250	185	749	1542	870	392	
2100	800	1200	2000	1000	480	110	680	150	150	270	210	850	80	110	230	320	100	90	210	150	140	270	190	950	1300	850	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1482	578	1051	1498	823	385	98	471	134	128	247	202	596	62	87	165	275	84	57	153	140	129	217	168	510	1090	600	292	
156	21	95	137	88	30	9	91	11	20	14	6	46	14	1	33	18	0	7	29	10	11	22	8	62	87	62	50	
462	201	54	365	89	65	3	118	5	2	9	2	208	4	22	32	27	16	26	28	0	0	31	14	378	123	188	58	
156	21	95	137	88	30	9	91	11	20	14	6	46	14	1	33	18	0	7	29	10	11	22	8	62	87	62	50	
1482	578	1051	1498	822	385	98	471	134	128	247	202	596	62	87	165	275	84	57	153	140	129	217	168	510	1090	600	292	
22	12	12	16	7	2	0	4	2	1	2	7	6	0	1	0	5	0	2	3	1	3	4	2	8	10	18	3	
1616	587	1134	1619	903	413	107	558	143	147	259	201	636	76	87	198	288	84	62	179	149	137	235	174	564	1167	644	339	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	1	5	4	4	2	0	2	1	0	1	1	1	1	0	0	0	1	0	1	0	0	4	1	3	7	6	2	
379	138	241	298	207	53	10	99	20	22	31	5	116	5	7	27	28	17	14	34	5	13	24	8	129	222	121	42	
142	36	68	105	46	38	6	22	9	8	15	13	42	12	14	17	28	7	0	18	10	9	17	4	48	72	38	31	
1050	406	813	1183	633	311	90	429	104	117	208	178	461	57	66	152	225	57	48	117	133	115	190	155	375	856	464	260	
15	2	2	9	3	1	0	3	2	0	0	1	3	0	0	1	4	1	0	5	0	0	0	2	4	3	5	3	
10	2	3	10	5	3	0	1	2	0	3	2	7	1	0	0	2	1	0	1	1	0	0	3	2	1	5	1	
10	1	2	5	1	1	1	0	0	0	1	0	4	0	0	1	1	0	0	1	0	0	0	1	3	3	3	0	
2	1	0	5	4	4	0	2	5	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	
