"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	
2460	2576	2418	1990	2755	2565	2502	2458	2465	2488	2714	2261	
2000	2200	2000	1800	2300	2200	2200	2100	2100	2100	2200	1900	
0	0	0	0	0	0	0	0	0	0	0	0	
1335	1549	1351	1086	1552	1627	1536	1396	1445	1574	1477	1269	
43	37	22	23	20	30	26	18	20	33	28	38	
622	614	627	691	728	543	638	686	635	493	695	593	
43	37	22	23	20	30	26	18	20	33	28	38	
1334	1549	1351	1086	1552	1627	1536	1396	1445	1574	1477	1269	
15	15	19	12	17	20	13	16	13	15	28	8	
1362	1571	1354	1097	1555	1637	1549	1398	1452	1592	1477	1299	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

1	6	3	7	6	6	5	7	8	14	5	4	
169	212	158	147	221	223	220	196	198	209	212	147	
93	85	104	84	97	117	92	81	95	74	99	78	
1065	1220	1056	831	1180	1245	1176	1067	1115	1261	1121	1039	
15	12	16	13	20	20	29	27	12	12	16	15	
7	12	7	3	9	9	8	1	6	4	7	9	
7	11	5	5	7	10	13	8	15	10	8	3	
5	13	5	7	15	7	6	11	3	8	9	4	
